指标,值
总收益率,15.19%
年化收益率,8.45%
夏普比率,0.511
卡尔玛比率,0.973
最大回撤,8.69%
年化波动率,11.96%
总交易次数,2
胜率,50.00%
盈亏比,24.258
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,151,939"
总盈利,"159,130"
总亏损,"6,560"
strategy_name,成交量突破策略
