日期,开盘,最高,最低,收盘,成交量,成交额
2025-11-18 15:00:00,41.54,41.55,41.46,41.51,1461400,60670724.0
2025-11-18 14:55:00,41.53,41.54,41.48,41.52,1253200,52016380.0
2025-11-18 14:50:00,41.54,41.55,41.48,41.52,902100,37450758.0
2025-11-18 14:45:00,41.37,41.57,41.37,41.55,952000,39498227.0
2025-11-18 14:40:00,41.46,41.55,41.37,41.38,646600,26806915.0
2025-11-18 14:35:00,41.33,41.49,41.3,41.46,810400,33548546.0
2025-11-18 14:30:00,41.4,41.4,41.3,41.33,788200,32571776.0
2025-11-18 14:25:00,41.33,41.4,41.3,41.4,693500,28673536.0
2025-11-18 14:20:00,41.42,41.42,41.3,41.31,842300,34826368.0
2025-11-18 14:15:00,41.36,41.45,41.35,41.42,703500,29115139.0
2025-11-18 14:10:00,41.5,41.52,41.36,41.36,1171000,48509820.0
2025-11-18 14:05:00,41.58,41.58,41.48,41.5,667100,27691782.0
2025-11-18 14:00:00,41.67,41.7,41.58,41.58,379100,15785845.0
2025-11-18 13:55:00,41.72,41.72,41.64,41.69,363400,15145994.0
2025-11-18 13:50:00,41.71,41.75,41.69,41.71,811600,33858941.0
2025-11-18 13:45:00,41.58,41.7,41.55,41.7,650500,27085316.0
2025-11-18 13:40:00,41.48,41.59,41.48,41.58,427500,17747836.0
2025-11-18 13:35:00,41.46,41.51,41.45,41.49,405000,16798586.0
2025-11-18 13:30:00,41.49,41.49,41.42,41.46,531300,22022786.0
2025-11-18 13:25:00,41.58,41.58,41.48,41.49,486700,20212355.0
2025-11-18 13:20:00,41.54,41.58,41.47,41.58,657200,27275272.0
2025-11-18 13:15:00,41.5,41.54,41.45,41.54,379800,15758836.0
2025-11-18 13:10:00,41.48,41.57,41.42,41.51,499800,20738690.0
2025-11-18 13:05:00,41.69,41.69,41.41,41.47,1234900,51242118.0
2025-11-18 11:30:00,41.61,41.69,41.56,41.67,606700,25237764.0
2025-11-18 11:25:00,41.71,41.71,41.61,41.61,625100,26049916.0
2025-11-18 11:20:00,41.65,41.72,41.63,41.72,459000,19125624.0
2025-11-18 11:15:00,41.72,41.73,41.63,41.65,514600,21445772.0
2025-11-18 11:10:00,41.69,41.75,41.64,41.72,579300,24143482.0
2025-11-18 11:05:00,41.75,41.75,41.68,41.68,694000,28952446.0
2025-11-18 11:00:00,41.82,41.82,41.72,41.75,803600,33576320.0
2025-11-18 10:55:00,41.89,41.94,41.82,41.82,558400,23389440.0
2025-11-18 10:50:00,41.89,41.95,41.86,41.9,624600,26173696.0
2025-11-18 10:45:00,41.8,41.91,41.8,41.9,713800,29868802.0
2025-11-18 10:40:00,41.88,41.94,41.8,41.8,1373800,57513982.0
2025-11-18 10:35:00,42.21,42.22,41.89,41.89,2117600,89078528.0
2025-11-18 10:30:00,42.0,42.21,41.98,42.21,4226400,177969856.0
2025-11-18 10:25:00,41.8,41.99,41.75,41.96,2117700,88766788.0
2025-11-18 10:20:00,41.75,41.83,41.7,41.8,1122200,46867839.0
2025-11-18 10:15:00,41.67,41.74,41.56,41.74,1598600,66567165.0
2025-11-18 10:10:00,41.59,41.93,41.59,41.65,3791100,158432136.0
2025-11-18 10:05:00,41.42,41.59,41.38,41.58,1255000,52055736.0
2025-11-18 10:00:00,41.27,41.71,41.21,41.41,2318400,96189568.0
2025-11-18 09:55:00,41.17,41.37,41.14,41.27,1645100,67823904.0
2025-11-18 09:50:00,41.01,41.24,40.91,41.2,2937500,120489344.0
2025-11-18 09:45:00,41.38,41.38,41.0,41.0,2275700,93581344.0
2025-11-18 09:40:00,41.29,41.39,41.22,41.38,2082100,86013024.0
2025-11-18 09:35:00,41.3,41.48,40.97,41.3,4113000,169371552.0
