日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
20250812135441.0,2388,中银香港,BOC HONG KONG,,37.34,0.34,0.91892,37.0,37.06,37.56,37.06,7128079,266112102,37.34,37.36
20250812115449.0,2389,北京健康,BJ HEALTH,,0.09,-0.001,-1.0989,0.091,0.093,0.093,0.09,24000,2214,0.091,0.093
20250812133349.0,2390,知乎－Ｗ,ZHIHU-W,,11.4,-0.18,-1.5544,11.58,11.52,11.52,11.4,1700,19477,11.4,11.51
20250812135433.0,2391,涂鸦智能－Ｗ,TUYA-W,,19.61,-0.99,-4.80583,20.6,19.83,20.34,19.61,23600,468030,19.66,19.73
20250812135029.0,2392,玄武云,XUANWU CLOUD,,1.57,-0.01,-0.63291,1.58,1.61,1.61,1.55,475500,743905,1.56,1.57
20250812132216.0,2393,巨星医疗控股,YESTAR HEALTH,,0.166,-0.006,-3.48837,0.172,0.168,0.168,0.154,3992500,651252,0.164,0.166
20250812134739.0,2399,中国安储能源,CN ANCHU ENERGY,,0.335,-0.015,-4.28571,0.35,0.35,0.35,0.335,621000,212475,0.335,0.34
20250812135508.0,2400,心动公司,XD INC,,71.35,-2.65,-3.58108,74.0,73.8,74.35,71.05,2524246,183041349,71.35,71.5
20250812135242.0,2402,亿华通,SINOHYTEC,,25.46,-0.34,-1.31783,25.8,25.34,25.68,25.22,48500,1232008,25.4,25.52
20250812134949.0,2405,力盟科技,POWERWIN TECH,,2.63,-0.07,-2.59259,2.7,2.69,2.69,2.58,404000,1058040,2.61,2.64
20250812134006.0,2407,高视医疗,GAUSH MEDITECH,,7.36,0.0,0.0,7.36,7.37,7.45,7.36,33400,246236,7.3,7.41
20250812135139.0,2409,洲际船务,SEACON,,4.3,0.05,1.17647,4.25,4.25,4.3,4.25,4000,17050,4.15,4.3
20250812135449.0,2410,同源康医药－Ｂ,TYK MEDICINES-B,,16.86,-0.58,-3.32569,17.44,17.8,17.8,16.76,2132000,36300275,16.86,16.88
20250812135150.0,2411,百果园集团,PAGODA GP,,1.73,-0.01,-0.57471,1.74,1.73,1.8,1.72,2240000,3897710,1.72,1.74
20250812134355.0,2415,梅斯健康,MEDSCI,,1.78,-0.02,-1.11111,1.8,1.76,1.81,1.68,218500,382607,1.75,1.78
20250812135400.0,2416,易点云,EDIANYUN,,2.19,0.14,6.82927,2.05,2.07,2.21,2.0,529000,1116215,2.18,2.2
20250812130019.0,2418,德银天下,DEEWIN,,2.05,0.0,0.0,2.05,0.0,0.0,0.0,1500,3060,2.04,2.18
20250812135439.0,2419,德康农牧,DEKON AGR,,92.05,2.3,2.56267,89.75,89.8,92.1,89.75,772700,70646091,92.05,92.1
20250812095228.0,2420,子不语,ZIBUYU,,4.09,0.0,0.0,4.09,0.0,0.0,0.0,0,0,0.0,4.32
20250812134642.0,2421,嘉创地产,KRP DEVELOPMENT,,0.72,0.01,1.40845,0.71,0.67,0.72,0.67,10000,7020,0.68,0.72
20250812130030.0,2422,润歌互动,REGO INTERACT,,0.4,0.005,1.26582,0.395,0.4,0.4,0.39,24000,9560,0.375,0.4
