日期,开盘,收盘,最高,最低,成交量,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,ATR,CCI,MA5,MA10,MA20,MA30,MA60,MA120,EMA12,EMA26,VOLUME_MA5,VOLUME_MA10,VOLUME_MA20,BBI,WR,MTM,OBV
2024-02-01,9.53,9.61,9.77,9.42,144255.0,-0.4388245576962948,-0.3638948618369288,-0.14985939171873197,18.658062730247863,23.088954651012866,9.796278888717858,23.68421052631578,11.677685639546443,10.534,9.390314360453559,0.3835714285714289,-134.12023375571377,9.916,10.045,10.534,10.846666666666668,11.371166666666666,11.605583333333332,10.15890019263852,10.597724750334818,131327.2,136471.2,136844.7,10.140208333333332,-89.61748633879785,-1.4600000000000009,1516225.1099999994
2024-01-31,9.89,9.52,10.04,9.51,178772.0,-0.4180425026978938,-0.3451624378720873,-0.145760129651613,19.35073045900818,25.304400611395366,7.443390154233811,20.723684210526315,11.75673401620378,10.626999999999999,9.497265983796218,0.37428571428571467,-135.28455284552857,10.081999999999999,10.148,10.626999999999999,10.902,11.414333333333333,11.631333333333334,10.258700227663706,10.676742730361603,130071.8,139699.6,135568.7,10.255416666666667,-99.46808510638299,-1.5099999999999998,1371970.1099999994
2024-01-30,10.05,9.94,10.3,9.92,122073.0,-0.37627278882433046,-0.32694242166563564,-0.09866073431738964,28.626095688512272,28.28123568758896,29.315815690358903,32.77027027027026,11.829339089354443,10.7345,9.639660910645558,0.36214285714285754,-100.13595791215943,10.204,10.264,10.7345,10.966666666666667,11.460666666666667,11.65825,10.393009359966198,10.76928214879053,120894.0,138640.5,132448.45,10.3965625,-86.82634730538929,-1.2700000000000014,1550742.1099999994
2024-01-29,10.49,10.12,10.52,10.12,108179.0,-0.3602500225519023,-0.31460982987596187,-0.09128038535188088,32.362220455845375,28.108805687127305,40.869049993281514,33.33333333333333,11.937862884880952,10.824,9.710137115119048,0.35714285714285754,-83.4214545881802,10.212,10.377,10.824,11.017333333333335,11.498333333333333,11.684750000000001,10.475374698141872,10.835624720693772,123569.0,143003.5,134570.35,10.4734375,-76.04790419161685,-1.1800000000000015,1672815.1099999994
2024-01-26,10.36,10.39,10.51,10.36,103357.0,-0.3528864187270635,-0.3031997817069767,-0.0993732740401736,33.39181553225295,25.982098302768268,48.21124999122231,39.05109489051096,12.036698141483408,10.9045,9.772301858516593,0.3478571428571432,-70.29221545579,10.158,10.468,10.9045,11.069666666666668,11.524333333333335,11.707916666666666,10.539988279622213,10.892874698349274,138727.6,143612.8,137187.7,10.526666666666667,-59.88023952095809,-0.5700000000000003,1780994.1099999994
2024-01-25,10.2,10.44,10.47,10.07,137978.0,-0.36584579830005737,-0.290778122451955,-0.15013535169620473,28.19229846177811,22.27723968802593,40.022416009282466,36.148648648648646,12.109015066236196,10.9645,9.819984933763802,0.3585714285714288,-93.50510711599595,10.174,10.55,10.9645,11.116666666666669,11.535833333333333,11.729000000000001,10.56725887591716,10.933104674217216,141615.2,142265.9,140358.15,10.524999999999999,-56.88622754491025,-0.6500000000000004,1884351.1099999994
2024-01-24,10.09,10.13,10.2,9.79,132883.0,-0.38215619479795215,-0.2720112034899294,-0.2202899826160455,18.75903592796131,19.31971030114984,17.637687181584255,26.5734265734266,12.12850016981685,11.004999999999999,9.881499830183149,0.3578571428571431,-153.07165893180226,10.214,10.636,11.004999999999999,11.166,11.5495,11.748916666666666,10.590396853356644,10.972553048154593,149327.4,141696.9,137812.2,10.509166666666665,-77.95698924731181,-0.8599999999999994,1746373.1099999994
2024-01-23,9.81,9.98,10.05,9.72,135448.0,-0.3658519198582013,-0.2444749556629237,-0.2427539283905552,15.863104790145554,19.600047487744103,8.389219394948455,20.9621993127148,12.10152455440616,11.0555,10.009475445593841,0.3492857142857145,-212.56483442285833,10.324,10.719000000000001,11.0555,11.228666666666665,11.567833333333333,11.772333333333334,10.67410537214876,11.03995729200696,156387.0,139693.1,136120.8,10.606458333333332,-86.45833333333334,-1.2799999999999994,1613490.1099999994
2024-01-22,10.45,9.85,10.45,9.77,183972.0,-0.32444752646443575,-0.21413071461410432,-0.22063362370066286,16.010226047493788,21.468518836543378,5.093640469394607,16.90140845070424,12.049731562738632,11.126,10.202268437261367,0.3392857142857144,-242.57167054075006,10.542,10.83,11.126,11.291333333333334,11.594999999999999,11.796750000000001,10.800306348903081,11.124753875367517,162438.0,138017.7,133018.5,10.747291666666667,-95.95959595959596,-1.620000000000001,1478042.1099999994
2024-01-19,10.61,10.47,10.76,10.45,117795.0,-0.25364486396600583,-0.18655151165152145,-0.13418670462896876,21.546203268771546,24.19766523106817,16.24327934417829,21.621621621621628,11.908201104501801,11.202,10.495798895498199,0.3035714285714287,-171.9110759284912,10.778,10.943999999999999,11.202,11.350333333333333,11.624,11.82175,10.973089321430914,11.226734185396918,148498.0,135792.1,128828.8,10.923645833333333,-88.1987577639751,-1.1999999999999993,1662014.1099999994
