日期,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润
2025-09-30,11967000000.0,11967000000.0,11171000000.0,8930000000.0,81797300.0,523000000.00000006,957000000.0,524000000.0,85406600.0,149000000.0,69865100.0,24480700.0,43986800.0,28501200.0,47702700.00000001,6564000.0,2659300.0,138000000.0,1013000000.0,21373600.0,,25563800.0,,1009000000.0,181000000.0,828999999.9999999
2025-06-30,8031000000.0,8031000000.0,7477000000.0,5984000000.0,54989000.0,373000000.0,654000000.0,316000000.0,42955700.0,102000000.0,40164600.0,13744500.0,39762900.0,17675300.0,35104100.0,8054900.0,953700.0,76374800.0,684000000.0,16334400.0,,16804800.0,,683000000.0,135000000.0,548000000.0
2025-03-31,4039000000.0,4039000000.0,3782000000.0,3055000000.0,28839300.0,183000000.0,334000000.0,146000000.0,25810500.0,51752000.0,15711199.999999998,5116100.0,2961300.0,-6730900.0,27125900.0,,30299.999999999996,56620400.0,334000000.0,9234400.0,,9172000.0,,335000000.0,57409600.0,277000000.0
2024-12-31,16247000000.0,16247000000.0,15540000000.0,12340000000.0,93768000.0,780000000.0,1294000000.0,642000000.0,199000000.0,249000000.00000003,49416899.99999999,108000000.0,83040200.0,123000000.0,12193800.000000002,2056300.0,14484400.0,149000000.0,1006000000.0,31295800.0,,46547100.0,,991000000.0,158000000.0,832000000.0
2024-09-30,12194000000.0,12194000000.0,11556000000.0,9135000000.0,73386200.0,602000000.0,961000000.0,508000000.0,174000000.0,175000000.0,33545300.000000004,71663200.0,31217300.0,28116900.0,13701900.0,8911100.0,11915200.0,102000000.0,795000000.0,23796100.0,,30027100.0,,788000000.0,111000000.0,678000000.0
2024-06-30,7978000000.0,7978000000.0,7619000000.0,5954000000.0,52712900.0,412000000.0,641000000.0,342000000.0,117000000.0,121000000.0,19558700.0,70616300.0,29678000.0,12139100.0,12770300.0,8652400.0,15841600.0,64880600.00000001,463999999.99999994,18354500.0,,19478300.0,,463000000.0,54326300.0,409000000.0
2024-03-31,3740999999.999999,3740999999.999999,3529999999.9999995,2809000000.0,31422300.0,176000000.0,325000000.0,128000000.0,64490800.0,53936000.0,7245300.0,1601800.0,-5564200.0,6248300.0,7847100.0,3024600.0,10101900.0,23343900.0,259000000.0,5552400.0,,5160900.0,,259000000.0,39504700.0,220000000.00000003
2023-12-31,15566999999.999998,15566999999.999998,14931000000.0,11705000000.0,94296500.0,704000000.0,1312000000.0,557000000.0,214000000.0,252000000.0,25351000.0,254000000.0,90732000.0,70011500.0,-200000000.0,-24203400.0,20878300.0,243000000.00000003,770000000.0,38982300.0,,41364100.0,,767000000.0,215000000.0,553000000.0
2023-09-30,12067000000.0,12067000000.0,11221000000.0,8938000000.0,74757800.0,581000000.0,976000000.0,412000000.0,167000000.0,191000000.0,19280200.0,8175000.0,64013300.0,43513800.0,41240000.0,20919300.0,29108500.0,165000000.0,1125000000.0,19528200.0,,27898200.0,,1116000000.0,153000000.0,964000000.0
2023-06-30,7814000000.0,7814000000.0,7236000000.0,5769000000.0,53531100.0,374000000.0,618000000.0,292000000.0,66885400.0,117000000.0,15156600.0,6805599.999999999,55362299.99999999,44673100.00000001,43744399.99999999,22431800.0,28717199.999999996,41086500.0,737000000.0,13136099.999999998,,19463600.0,,730000000.0,102000000.0,628000000.0
2023-03-31,3836000000.0,3836000000.0,3586000000.0,2893000000.0,27588100.0,181000000.0,286000000.0,136000000.0,60543600.0,51356100.0,2253300.0,1396100.0000000002,285700.0,1498100.0,20317300.0,9445200.0,28264600.0,9928100.0,310000000.0,4955400.0,,5857500.0,,309000000.0,43777700.00000001,265000000.0
2022-12-31,14266000000.0,14266000000.0,13485000000.0,10726000000.0,84850100.0,682000000.0,1082000000.0,575000000.0,206999999.99999997,275000000.0,17588600.0,9264700.0,118000000.0,-3073399.9999999995,90884900.0,29221300.0,606700.0,124000000.0,993000000.0,24276000.0,,18271700.0,,999000000.0,160000000.0,839000000.0
2022-09-30,11251000000.0,11251000000.0,10509000000.0,8570000000.0,61517000.0,488000000.0,818000000.0,386000000.0,161000000.0,185000000.0,10820300.0,10437300.0,13769800.0,33009500.0,91219400.0,46568800.0,588400.0,101000000.0,968000000.0,14444500.0,,18581200.0,,963000000.0,120000000.0,844000000.0
2022-06-30,7192000000.0,7192000000.0,6765000000.000001,5487000000.0,41477800.0,321000000.0,509000000.0,254000000.0,130000000.0,126000000.0,13228599.999999998,7359000.0,14344100.0,34765300.0,77471100.0,33294000.0,871100.0,67226100.0,607000000.0,10781700.0,,12145100.0,,606000000.0,76235200.0,530000000.0
2022-03-31,3527000000.0000005,3527000000.0000005,3351000000.0,2750000000.0,18264100.0,150000000.0,249000000.00000003,122000000.0,62875100.0,58871400.0,3113399.9999999995,-1379300.0,-373100.0,2372200.0,38906400.0,9037400.0,-220600.0,32191300.0,248000000.0,7718200.000000001,,7846300.0,,248000000.0,44334900.0,204000000.0
