指标,值
总收益率,24.43%
年化收益率,13.35%
夏普比率,0.868
卡尔玛比率,1.290
最大回撤,10.35%
年化波动率,12.37%
总交易次数,6
胜率,66.67%
盈亏比,1.708
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,244,267"
总盈利,"347,756"
总亏损,"101,780"
strategy_name,布林带策略
