指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_long_period,30,89,95,86,39,60,77,47,31,84
参数_short_period,19,7,6,20,12,12,5,17,14,17
夏普比率,1.506,1.373,1.373,1.321,1.288,1.200,1.175,1.037,0.207,-1.537
总收益率,145.30%,90.22%,90.22%,85.37%,112.84%,83.55%,95.66%,69.80%,9.69%,-5.34%
年化收益率,61.24%,40.83%,40.83%,38.90%,49.51%,38.17%,42.96%,32.56%,5.05%,-2.88%
最大回撤,17.92%,11.36%,11.36%,11.37%,18.94%,18.17%,23.66%,21.26%,21.21%,5.34%
胜率,33.33%,0.00%,0.00%,0.00%,25.00%,0.00%,33.33%,0.00%,25.00%,0.00%
总交易次数,3,1,1,1,4,3,3,4,4,1
盈亏比,4.883,0.000,0.000,0.000,2.677,0.000,1.608,0.000,4.825,0.000
卡尔玛比率,3.417,3.593,3.593,3.423,2.614,2.101,1.816,1.532,0.238,-0.539
年化波动率,35.205103941481525,26.33542661398106,26.33542661398106,26.27886307548639,34.967405317046804,29.127440901080604,34.10827659911257,29.69547168689839,23.74754078043014,3.884980722430873
最终资金,2452952.4600275103,1902154.0586056001,1902154.0586056001,1853706.4149571,2128390.0876729786,1835459.6573883793,1956621.4353611004,1698014.8212908856,1096885.9276119478,946638.0027132425
