日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-11-03,sell,52.895947103999994,52.843051156895996,18400,,291.69364238606585,stop_loss,972312.1412868863,972.3121412868863,-54488.3764967866,-5.313158123500005,55.735679999999995
2025-10-30,buy,55.68,55.735679999999995,18400,1025536.5119999999,307.6609535999999,signal,,,,,
2025-09-10,sell,44.0324559675,43.988423511532496,23400,,308.7987330509581,stop_loss,1029329.1101698604,1029.3291101698605,-57683.60767336027,-5.3131581234999965,46.39635
2025-09-05,buy,46.35,46.39635,23400,1085674.5899999999,325.7023769999999,signal,,,,,
2025-08-14,sell,43.585956413999995,43.542370457585996,24900,,325.26150731816733,stop_loss,1084205.0243938912,1084.2050243938913,-60758.85413782089,-5.3131581235000205,45.92588
2025-08-12,buy,45.88,45.92588,24900,1143554.412,343.0663236,signal,,,,,
2025-07-29,sell,40.4,40.3596,28400,,343.86379199999993,signal,1146212.64,1146.21264,121300.16356799996,11.852404595404593,36.035999999999994
2025-07-18,buy,36.0,36.035999999999994,28400,1023422.3999999998,307.0267199999999,signal,,,,,
2025-07-01,sell,31.78,31.74822,32300,,307.6402518,signal,1025467.506,1025.4675060000002,14719.9922422003,1.4582704739207282,31.251219999999996
2025-06-24,buy,31.22,31.251219999999996,32300,1009414.4059999998,302.82432179999995,signal,,,,,
2025-04-28,sell,28.12,28.09188,36000,,303.39230399999997,signal,1011307.6799999999,1011.30768,-26402.379984,-2.5475200877008946,28.78876
2025-04-24,buy,28.76,28.78876,36000,1036395.36,310.91860799999995,signal,,,,,
2025-02-19,sell,32.166967832999994,32.134800865166994,32300,,311.3862203834682,stop_loss,1037954.067944894,1037.954067944894,-58166.95034343423,-5.313158123499998,33.89386
2025-02-12,buy,33.86,33.89386,32300,1094771.6779999998,328.43150339999994,signal,,,,,
2024-10-11,sell,33.41,33.37658999999999,32900,,329.4269432999999,signal,1098089.8109999998,1098.0898109999998,193642.17624569975,21.443838557503742,27.447419999999997
2024-09-24,buy,27.42,27.447419999999997,32900,903020.1179999999,270.90603539999995,signal,,,,,
2024-09-13,sell,26.048973950999997,26.022924977048998,34700,,270.89864901108007,stop_loss,902995.4967036003,902.9954967036003,-50603.871442114236,-5.313158123499985,27.447419999999997
2024-09-11,buy,27.42,27.447419999999997,34700,952425.4739999999,285.72764219999993,signal,,,,,
2024-07-15,sell,28.74,28.71126,33200,,285.9641495999999,signal,953213.8319999999,953.2138319999999,-31728.065981600084,-3.2253713786213876,29.6296
2024-07-11,buy,29.6,29.6296,33200,983702.72,295.11081599999994,signal,,,,,
2024-05-08,sell,39.7,39.6603,24900,,296.26244099999997,signal,987541.47,987.54147,-30429.00491099991,-2.9929579858729074,40.83078999999999
2024-04-29,buy,40.79,40.83078999999999,24900,1016686.6709999999,305.0060012999999,signal,,,,,
2024-03-05,sell,51.21,51.15879,19900,,305.4179763,signal,1018059.9210000001,1018.0599210000001,17554.259102700278,1.756862700696461,50.21015999999999
2024-02-28,buy,50.16,50.21015999999999,19900,999182.1839999998,299.7546551999999,signal,,,,,
