指标,值
总收益率,-2.67%
年化收益率,-1.43%
夏普比率,-0.107
卡尔玛比率,-0.061
最大回撤,23.62%
年化波动率,21.30%
总交易次数,12
胜率,33.33%
盈亏比,1.876
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"973,273"
总盈利,"347,217"
总亏损,"370,261"
strategy_name,成交量突破策略
