指标,值
总收益率,0.00%
年化收益率,0.00%
夏普比率,0.000
卡尔玛比率,0.000
最大回撤,0.00%
年化波动率,0.00%
总交易次数,0
胜率,0.00%
盈亏比,0.000
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,000,000"
总盈利,0
总亏损,0
strategy_name,布林带+RSI反转策略
