日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-09-26,sell,1435.0,1433.565,600,,258.0417,signal,860139.0,860.139,-9506.840699999826,-1.0945927387044676,1447.5460999999998
2025-08-28,buy,1446.1,1447.5460999999998,600,868527.6599999999,260.558298,signal,,,,,
2025-05-30,sell,1522.0,1520.478,600,,273.68604,signal,912286.8,912.2868000000001,-3552.912839999888,-0.3884434824483294,1524.4229
2025-03-10,buy,1522.9,1524.4229,600,914653.74,274.396122,signal,,,,,
2024-10-16,sell,1547.7384522599998,1546.1907138077397,600,,278.3143284853931,stop_loss,927714.4282846438,927.7144282846439,-51989.120472126175,-5.313158123500015,1630.8292
2024-09-27,buy,1629.2,1630.8292,600,978497.5199999999,293.54925599999996,signal,,,,,
