指标,值
总收益率,330.52%
年化收益率,117.55%
夏普比率,2.134
卡尔玛比率,5.399
最大回撤,21.77%
年化波动率,40.46%
总交易次数,11
胜率,63.64%
盈亏比,4.908
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"4,305,197"
总盈利,"3,748,517"
总亏损,"436,408"
strategy_name,成交量突破策略
