指标,值
总收益率,81.28%
年化收益率,37.26%
夏普比率,1.261
卡尔玛比率,3.280
最大回撤,11.36%
年化波动率,26.62%
总交易次数,2
胜率,0.00%
盈亏比,0.000
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,812,754"
总盈利,0
总亏损,"53,065"
strategy_name,MACD趋势策略
