指标,值
总收益率,13.77%
年化收益率,7.68%
夏普比率,0.368
卡尔玛比率,0.413
最大回撤,18.59%
年化波动率,16.12%
总交易次数,8
胜率,37.50%
盈亏比,2.637
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,137,685"
总盈利,"380,021"
总亏损,"240,151"
strategy_name,KDJ超卖反弹策略
