指标,值
总收益率,1.22%
年化收益率,0.70%
夏普比率,-0.154
卡尔玛比率,0.063
最大回撤,11.13%
年化波动率,10.94%
总交易次数,4
胜率,25.00%
盈亏比,1.715
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,012,204"
总盈利,"77,980"
总亏损,"90,948"
strategy_name,KDJ+MACD双重确认策略
