字段名,字段值
sell_5,1456.88
sell_5_vol,100.0
sell_4,1456.8
sell_4_vol,600.0
sell_3,1456.73
sell_3_vol,500.0
sell_2,1456.72
sell_2_vol,200.0
sell_1,1456.7
sell_1_vol,1700.0
buy_1,1456.6
buy_1_vol,1500.0
buy_2,1456.59
buy_2_vol,800.0
buy_3,1456.58
buy_3_vol,100.0
buy_4,1456.57
buy_4_vol,100.0
buy_5,1456.55
buy_5_vol,300.0
最新,1456.6
均价,1467.26
涨幅,-0.94
涨跌,-13.78
总手,27473.0
金额,4031007106.0
换手,0.22
量比,0.86
最高,1478.95
最低,1456.3
今开,1470.0
昨收,1470.38
涨停,1617.42
跌停,1323.34
外盘,12226.0
内盘,15247.0
