代码,简称,PEG,市盈率-24A,市盈率-TTM,市盈率-25E,市盈率-26E,市盈率-27E,市销率-24A,市销率-TTM,市销率-25E,市销率-26E,市销率-27E,市净率-24A,市净率-MRQ,市现率PCE-24A,市现率PCE-TTM,市现率PCF-24A,市现率PCF-TTM,EV/EBITDA-24A,PEG排名
行业平均,行业平均,-28.161231511887,104.198616199744,-0.130296311282,52.793160123041,29.206182288863,30.903496435727,6.479067584028,7.385049953077,5.444374093172,5.069230447932,4.614011625894,5.249861358303,4.618496583077,16.853490292564,-0.212371262308,-71.799365734359,-151.574208193333,-6.37946010638,
行业中值,行业中值,-0.008395558296,21.15384443,19.51945566,23.505593323833,21.598992770756,20.632560025546,4.599429682836,5.41045041,4.716076676628,4.399061379368,4.023542543191,3.19988579023,3.16044792,18.0685347,23.78244475,-28.30068118,-18.11113867,15.905862839137,
000729,燕京啤酒,0.306342351616,33.80073264,23.20002725,22.847310100135,19.148935926802,16.670278463232,2.432853813972,2.33928105,2.312425454752,2.207757297352,2.118111608827,2.440841046186,2.25071342,13.99889424,10.73902288,-59.30181446,41.98892079,20.134114160111,1.0
002461,珠江啤酒,0.708098757236,26.55098663,22.69810789,22.429738634228,19.974017049907,18.322401270916,3.753839626091,3.63574878,3.575324538924,3.392070184752,3.228687626248,2.046967178392,1.94204614,20.12238627,19.23567427,-22.22605241,194.84551477,25.093766542489,2.0
600573,惠泉啤酒,0.935915010317,47.39304021,36.70220208,39.140127388535,33.037634408602,30.725,4.748374003464,4.86357841,4.723289777095,4.565378900446,4.333568406206,2.367842533814,2.23267506,23.16405466,26.57399536,-845.23844694,77.17561018,51.617032946797,3.0
601579,会稽山,1.21470747971,57.06465766,56.02652711,49.978562454506,39.985511272115,31.398207895778,6.862267158114,6.28480961,5.892062573072,5.0437028795,4.306990534695,3.017660921135,3.07731418,33.98137072,29.65650941,109.16978885,-108.70985843,15.905862839137,4.0
600600,青岛啤酒,1.229843479143,20.79738102,19.51945566,19.215772691131,17.940541531049,16.842801877678,2.811773056953,2.77657687,2.755188278719,2.683051158655,2.613453296268,3.109535069334,2.88398492,17.53059658,19.0635563,-17.22512477,-28.9507383,20.215124276843,5.0
600519,贵州茅台,1.575657098004,21.15384443,20.26114261,19.940221640073,18.772155777743,17.580742525458,10.474412339199,10.02639887,9.87220166424,9.310012745831,8.742285799537,7.825010584212,7.0955656,19.72727621,21.15115561,93.01713761,422.6582102,16.392491176787,7.0
