日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,EMA12,EMA26,VOLUME_MA5,VOLUME_MA10,VOLUME_MA20,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,ATR,CCI,BBI,WR,MTM,OBV,WEEKLY_KDJ_K,WEEKLY_KDJ_D,WEEKLY_KDJ_J
2025-11-14,1470.0,1456.6,1478.95,1456.3,27473.0,1462.684,1446.596,1446.8445000000002,1447.1883333333333,1460.16,1455.5508333333337,1451.2435686789238,1450.4151172170991,33557.6,32058.6,31951.75,0.8284514618242156,-3.2083367827187548,8.07357648908594,70.48585224958815,63.25721342063953,84.94312990748537,56.72733316712364,1478.5635770921283,1446.8445000000002,1415.1254229078718,17.29785714285718,79.72448157104085,1453.7425,-37.91991856124892,24.699999999999815,-1307075.15,,,
2025-11-13,1462.12,1470.38,1473.58,1458.0,31179.0,1458.03,1443.937,1446.7645,1446.6016666666667,1459.6665,1456.58725,1450.2696720750916,1449.920326594467,31835.2,32880.7,32482.4,0.3493454806239242,-4.217533843854497,9.133758648956842,74.68873765500669,59.64289400616522,104.78042495268964,58.773893576717775,1478.3879047069663,1446.7645,1415.1410952930337,16.85857142857146,95.16343042071182,1452.142916666667,-13.67609254498681,25.38000000000011,-1279602.15,,,
2025-11-12,1459.98,1465.15,1478.36,1459.21,32992.0,1450.98,1439.573,1447.4910000000002,1445.6556666666663,1458.8276666666668,1457.55075,1446.6132488160174,1448.2835527220243,33269.0,34508.4,33209.95,-1.6703039060075753,-5.359253674974102,7.377899537933054,68.87115275500344,52.119972181744494,102.37351390152132,48.902164636511785,1481.940108093222,1447.4910000000002,1413.0418919067783,17.855714285714335,91.26056873300465,1448.424375,-23.322575165619146,24.74000000000001,-1310781.15,,,
2025-11-11,1462.0,1458.99,1462.18,1447.0,26692.0,1441.966,1436.248,1447.3335000000002,1445.0646666666669,1458.3591666666666,1458.4993333333334,1443.2429304189295,1446.9342369397864,33565.6,34602.9,33699.6,-3.691306520857097,-6.281491117215734,5.180369192717274,64.62635209737218,43.744381895115026,106.39029250188648,50.10984016362395,1481.470051347378,1447.3335000000002,1413.1969486526225,18.01500000000005,41.25455301048652,1443.4555208333334,-33.78630881603543,8.990000000000009,-1343773.15,,,
2025-11-10,1435.0,1462.3,1463.69,1434.98,49452.0,1435.968,1434.849,1446.935,1444.8766666666666,1458.126,1459.7921666666668,1440.379826858735,1445.9697758949694,33540.4,34646.1,35698.6,-5.589949036234884,-6.929037266305393,2.6781764601410174,52.31956477609494,33.30339679398646,90.3519007403119,50.015121729925895,1480.6824674293075,1446.935,1413.1875325706924,17.617142857142913,32.32282573146589,1440.1240625,-28.163750636996976,-5.680000000000064,-1317081.15,,,
2025-11-07,1435.11,1433.33,1439.78,1431.11,18861.0,1430.508,1432.66,1444.78,1445.0656666666666,1457.4371666666666,1461.2064166666669,1436.3943408330506,1444.663357966567,30559.6,33411.1,35529.45,-8.269017133517082,-7.263809323823019,-2.010415619388125,30.07046438025975,23.79531280293222,42.62076753491481,38.57089760267603,1479.8738633111643,1444.78,1409.6861366888356,16.48000000000005,-50.56218484763202,1435.3636458333333,-77.37387463903531,-25.37000000000012,-1366533.15,,,
2025-11-06,1430.0,1435.13,1441.45,1429.99,38348.0,1429.844,1434.327,1444.6135,1446.22,1457.2541666666666,1462.8869166666668,1436.951493711787,1445.5700266038923,33926.2,35347.6,36386.45,-8.61853289210626,-7.0125073713995025,-3.2120510414135133,23.75269881469884,20.657737014268456,29.94262241555961,40.864367816092006,1479.9667336196542,1444.6135,1409.2602663803457,16.905000000000037,-45.9851009453667,1435.2741666666666,-74.31629013079653,-27.12999999999988,-1347672.15,,,
2025-11-05,1425.89,1420.08,1430.99,1420.01,34475.0,1428.166,1437.612,1444.696,1448.149,1457.0666666666666,1464.18,1437.2826743866572,1446.4052287322036,35747.8,34445.0,37214.95,-9.122554345547089,-6.611000991222812,-5.02310670864855,12.353186153082584,19.110256114053264,-1.160953768858775,23.776393495671783,1479.963649347862,1444.696,1409.4283506521383,17.80500000000003,-99.11162788912746,1435.734270833333,-99.89704368289463,-37.850000000000136,-1386020.15,,,
2025-11-04,1435.1,1429.0,1435.78,1423.78,26566.0,1430.53,1441.474,1445.8915000000002,1450.8123333333335,1457.1943333333334,1465.7168333333332,1440.4104333660491,1448.51124703078,35640.2,32817.0,37459.4,-8.100813664731277,-5.983112652641743,-4.235402024179068,18.47032619751929,22.488791094538605,10.433396403480664,38.00872093023256,1479.2130601296087,1445.8915000000002,1412.5699398703916,18.88285714285717,-83.58975625416832,1438.6169791666669,-86.8924889543445,-26.0,-1351545.15,,,
2025-11-03,1431.0,1435.0,1448.0,1420.1,34548.0,1433.73,1444.8,1447.4845,1453.6823333333334,1457.0276666666666,1467.0683333333332,1442.485057614422,1450.0721467932424,35751.8,32704.7,38815.3,-7.587089178820861,-5.4536873996193584,-4.266803558403005,20.134887050617095,24.49802354304826,11.408614065754769,44.38210127647637,1480.4502892686146,1447.4845,1414.5187107313857,19.305714285714316,-68.72808940230858,1439.6376041666667,-78.05596465390269,-49.91000000000008,-1324979.15,,,
2025-10-31,1422.0,1430.01,1435.98,1420.11,35694.0,1434.812,1447.093,1447.4845,1456.3823333333337,1456.727666666667,1468.2615833333332,1443.8459771806804,1451.2779185367017,36262.6,31844.9,39343.95,-7.431941356021525,-4.920336954818983,-5.023208802405085,17.527951535435644,26.67959178926384,-0.7753289722207555,53.19048462310371,1480.4502892686146,1447.4845,1414.5187107313857,20.512857142857165,-99.4561700783172,1441.2352083333335,-85.4175872735306,-31.99000000000001,-1359527.15,,,
2025-10-30,1421.81,1426.74,1436.63,1421.81,47456.0,1438.81,1449.592,1447.934,1459.4986666666666,1456.5886666666668,1469.3031666666668,1446.3616093953497,1452.979352019638,36769.0,32084.1,39252.75,-6.617742624288667,-4.292435854518347,-4.65061353954064,17.869262678344842,31.255411916177938,-8.903035797321344,49.078783768509105,1480.1327841548414,1447.934,1415.7352158451586,20.442142857142876,-109.10570301737472,1445.1283333333336,-84.0559824368824,-24.279999999999973,-1395221.15,,,
2025-10-29,1440.02,1431.9,1446.55,1430.04,33937.0,1447.058,1455.409,1448.697,1462.6743333333334,1456.967,1470.332,1449.9291747399586,1455.078500181209,33142.2,31911.5,38417.15,-5.149325441250767,-3.7111091620757666,-2.8764325583500003,22.48463696477497,37.94848653509448,-8.443062175864057,48.63351254480289,1479.4729353014927,1448.697,1417.9210646985075,20.27214285714287,-75.51156910770347,1448.534375,-76.9758507135014,12.700000000000044,-1347765.15,,,
2025-10-28,1442.0,1445.0,1451.2,1441.1,27124.0,1452.418,1458.419,1449.473,1465.111,1457.0853333333332,1471.2911666666666,1453.20720651086,1456.9327801957056,29993.8,32796.3,38653.45,-3.72557368484604,-3.351555092282016,-0.7480371851280481,32.122400581737914,45.68041132025423,5.006379104705289,50.29246539642091,1479.231499608428,1449.473,1419.7145003915718,20.806428571428587,-24.619958001486665,1451.679583333333,-59.001097694840745,15.0,-1313828.15,,,
