指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_period,34,40,16,38,26,30,19,35,16,26
参数_std_dev,2.217795110562541,2.2322370567394016,2.1673422621808727,1.8005451360887101,2.0335960277973153,1.8049464136538023,2.255621931064197,1.9284043529063146,2.3053991405867773,1.869982441072602
夏普比率,1.204,0.981,0.843,0.530,0.508,0.350,0.286,0.081,0.066,0.011
总收益率,49.67%,52.44%,26.89%,27.51%,22.93%,16.90%,10.44%,4.33%,5.86%,1.81%
年化收益率,23.95%,25.17%,13.52%,13.81%,11.62%,8.67%,5.43%,2.28%,3.08%,0.96%
最大回撤,8.92%,23.52%,10.39%,23.49%,23.49%,23.49%,13.05%,27.63%,13.05%,23.49%
胜率,66.67%,50.00%,33.33%,25.00%,25.00%,25.00%,33.33%,14.29%,33.33%,28.57%
总交易次数,3,4,3,8,4,8,3,7,3,7
盈亏比,4.686,5.164,5.691,5.365,6.797,4.387,4.046,6.253,3.156,2.342
卡尔玛比率,2.683,1.070,1.301,0.588,0.495,0.369,0.416,0.083,0.236,0.041
年化波动率,17.36422161784224,23.685911678508035,13.150615096027915,26.328188713323375,20.970501675683785,25.467695220330448,10.818035837052038,22.242414452779418,10.249924924301663,21.109633648525755
最终资金,1496663.3790682838,1524381.0392471827,1268856.3580574926,1275093.329277708,1229298.3131771686,1169042.1477006378,1104412.3395450523,1043271.309422822,1058617.8498750522,1018083.4991044302
