日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-06-19,1426.0,89239.93118340895,700,1087439.931183409,0.0006441283511480211,1423.7122899999997,1601.3970000002018
2025-06-18,1425.0,89239.93118340895,700,1086739.931183409,-0.0012865992322121933,1423.7122899999997,901.3970000002018
2025-06-17,1427.0,89239.93118340895,700,1088139.931183409,0.003039149636531624,1423.7122899999997,2301.397000000202
2025-06-16,1422.29,89239.93118340895,700,1084842.931183409,-0.0011919140665835881,1423.7122899999997,-995.6029999998236
2025-06-13,1426.95,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-12,1459.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-11,1480.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-10,1475.01,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-09,1486.11,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-06,1506.39,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-05,1514.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-04,1509.96,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-06-03,1509.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-30,1522.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-29,1540.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-28,1537.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-27,1543.9,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-26,1550.5,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-23,1572.6,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-22,1580.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-21,1580.97,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-20,1586.0,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-19,1578.98,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-16,1614.13,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
2025-05-15,1632.01,1086137.5137643088,0,1086137.5137643088,0.0,0.0,0.0
