日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-09-10,sell,39.11,39.07089,110300,,1292.8557500999998,signal,4309519.166999999,4309.5191669999995,501386.0600828999,13.18558863610257,34.474439999999994
2025-09-02,buy,34.44,34.474439999999994,110300,3802530.7319999994,1140.7592195999998,signal,,,,,
2025-08-26,sell,33.54,33.50646,113700,,1142.9053505999998,signal,3809684.502,3809.684502,946869.9051474002,33.13210724759113,25.135109999999997
2025-08-13,buy,25.11,25.135109999999997,113700,2857862.0069999998,857.3586020999999,signal,,,,,
2025-07-31,sell,22.83,22.80717,125500,,858.6899504999999,signal,2862299.835,2862.299835,387525.26021449966,15.682592339028522,19.68967
2025-07-09,buy,19.67,19.68967,125500,2471053.585,741.3160754999999,signal,,,,,
2025-06-27,sell,22.182477817499997,22.1602953396825,111700,,742.5914968327605,stop_loss,2475304.989442535,2475.3049894425353,-138716.10204374,-5.313158123499998,23.37335
2025-06-24,buy,23.35,23.37335,111700,2610803.195,783.2409584999999,signal,,,,,
2025-03-27,sell,29.269470730499993,29.240201259769492,89400,,784.2221977870176,stop_loss,2614073.9926233925,2614.0739926233928,-146492.7175670173,-5.313158123500008,30.840809999999994
2025-03-26,buy,30.81,30.840809999999994,89400,2757168.4139999994,827.1505241999997,signal,,,,,
2025-02-27,sell,28.04,28.01196,98600,,828.5937767999999,signal,2761979.256,2761.979256,1044980.9869672004,60.988461147147824,17.377359999999996
2025-01-08,buy,17.36,17.377359999999996,98600,1713407.6959999995,514.0223087999998,signal,,,,,
2025-01-03,sell,16.890983109,16.874092125891,101700,,514.8285507609344,stop_loss,1716095.1692031147,1716.0951692031147,-96169.98051684932,-5.313158123499998,17.79778
2024-12-26,buy,17.78,17.79778,101700,1810034.226,543.0102678,signal,,,,,
2024-11-12,sell,15.89,15.87411,114200,,543.8470086,signal,1812823.362,1812.823362,398686.32162940037,28.239967781206683,12.362349999999998
2024-10-18,buy,12.35,12.362349999999998,114200,1411780.3699999996,423.5341109999999,signal,,,,,
2024-10-16,sell,11.82,11.80818,119800,,424.3859891999999,signal,1414619.964,1414.619964,136834.28604679974,10.724138324081913,10.65064
2024-09-25,buy,10.64,10.65064,119800,1275946.672,382.78400159999995,signal,,,,,
2024-08-07,sell,11.84,11.82816,108000,,383.23238399999997,signal,1277441.28,1277.44128,-55028.87366399984,-4.134992610963354,12.32231
2024-08-01,buy,12.31,12.32231,108000,1330809.48,399.24284399999993,signal,,,,,
2024-04-03,sell,15.08,15.06492,88500,,399.973626,signal,1333245.4200000002,1333.2454200000002,332233.9209540001,33.247387399834224,11.291279999999999
2024-03-05,buy,11.28,11.291279999999999,88500,999278.2799999999,299.78348399999993,signal,,,,,
