指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_volume_multiplier,1.5007787658410143,1.683434789866164,2.096850157946487,2.1174815096277166,1.5070663052197175,1.599974915818003,1.833708611139022,2.150888472948853,2.024774660258389,2.221998772266825
参数_volume_period,28,25,24,30,20,16,16,9,6,6
夏普比率,2.134,1.090,1.073,1.024,0.980,0.764,0.504,-0.094,-0.216,-0.472
总收益率,330.52%,78.52%,71.79%,70.74%,73.36%,48.76%,26.54%,-1.52%,-4.89%,-8.25%
年化收益率,117.55%,36.15%,33.39%,32.96%,34.04%,23.55%,13.35%,-0.81%,-2.63%,-4.48%
最大回撤,21.77%,25.04%,25.39%,28.84%,29.50%,32.88%,31.35%,17.08%,21.26%,15.72%
胜率,63.64%,45.45%,57.14%,57.14%,42.11%,37.50%,25.00%,50.00%,28.57%,25.00%
总交易次数,11,11,7,7,19,16,12,8,7,4
盈亏比,4.908,3.870,3.753,3.384,3.249,3.395,5.745,0.901,1.588,0.607
卡尔玛比率,5.399,1.443,1.315,1.143,1.154,0.716,0.426,-0.048,-0.124,-0.285
年化波动率,40.4610586550139,31.244991754439518,29.163555155357585,30.653741900855003,33.97031538317382,31.345576647363867,27.31218784330994,20.0184883995406,18.718982430933266,14.304067148515012
最终资金,4305196.864853494,1785184.9211967874,1717880.9348713397,1707423.6456637972,1733607.2420849642,1487564.707221108,1265381.47592049,984778.5389158013,951130.2846425591,917541.592838579
