指标,值
总收益率,161.55%
年化收益率,66.85%
夏普比率,2.109
卡尔玛比率,4.440
最大回撤,15.06%
年化波动率,25.47%
总交易次数,6
胜率,66.67%
盈亏比,3.724
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"2,615,523"
总盈利,"1,870,317"
总亏损,"251,111"
strategy_name,KDJ+布林带系统
