指标,值
总收益率,-7.31%
年化收益率,-3.96%
夏普比率,-0.345
卡尔玛比率,-0.356
最大回撤,11.13%
年化波动率,16.88%
总交易次数,5
胜率,20.00%
盈亏比,2.635
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"926,872"
总盈利,"138,414"
总亏损,"210,087"
strategy_name,布林带策略
