指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_period,34,38,40,35,30,26,16,16,26,19
参数_std_dev,2.217795110562541,1.8005451360887101,2.2322370567394016,1.9284043529063146,1.8049464136538023,2.0335960277973153,2.3053991405867773,2.1673422621808727,1.869982441072602,2.255621931064197
夏普比率,-0.345,-0.398,-0.533,-1.142,-1.694,-1.934,-2.365,-2.463,-2.470,-2.683
总收益率,-7.31%,-12.01%,-9.35%,-23.13%,-35.70%,-31.81%,-23.89%,-23.95%,-35.46%,-27.96%
年化收益率,-3.96%,-6.58%,-5.09%,-13.07%,-20.95%,-18.44%,-13.53%,-13.56%,-20.80%,-16.02%
最大回撤,11.13%,22.41%,20.09%,34.15%,37.55%,31.81%,23.89%,23.95%,37.32%,27.96%
胜率,20.00%,22.22%,20.00%,12.50%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,5,9,5,8,11,7,5,5,8,6
盈亏比,2.635,2.268,2.117,1.935,1.769,0.000,0.000,0.000,0.000,0.000
卡尔玛比率,-0.356,-0.294,-0.254,-0.383,-0.558,-0.580,-0.566,-0.566,-0.557,-0.573
年化波动率,16.882305220919296,20.31464711654441,14.023650958767437,14.519296448405235,15.558679421822283,12.172701229520815,7.565736211640864,7.288494096076668,10.832323794944685,7.7999176529686185
最终资金,926872.2909495928,879923.7708672074,906464.0469594722,768674.6419565346,642980.226922383,681865.5303577968,761062.3605282984,760541.5538152672,645382.2478370541,720352.8963087639
