指标,值
总收益率,29.95%
年化收益率,14.97%
夏普比率,0.569
卡尔玛比率,0.586
最大回撤,25.56%
年化波动率,26.29%
总交易次数,12
胜率,25.00%
盈亏比,4.758
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,299,481"
总盈利,"820,874"
总亏损,"517,611"
strategy_name,RSI反转策略
