指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_overbought,77,80,71,70,74,72,79,78,74,71
参数_oversold,26,25,29,31,31,35,30,27,30,28
参数_rsi_period,16,20,15,15,7,7,21,18,6,13
夏普比率,0.569,0.463,0.088,-0.152,-0.328,-0.335,-0.402,-0.427,-0.768,-1.561
总收益率,29.95%,25.44%,3.45%,-7.70%,-16.22%,-16.01%,-17.17%,-17.15%,-34.52%,-41.68%
年化收益率,14.97%,12.83%,1.82%,-4.18%,-8.99%,-8.87%,-9.54%,-9.53%,-20.18%,-24.95%
最大回撤,25.56%,42.44%,27.47%,33.57%,46.37%,44.88%,53.60%,54.52%,44.51%,55.32%
胜率,25.00%,0.00%,21.43%,18.75%,32.14%,34.48%,8.33%,8.33%,37.50%,11.76%
总交易次数,12,11,14,16,28,29,12,12,32,17
盈亏比,4.758,0.000,3.891,3.888,1.690,1.528,6.872,6.875,0.989,2.961
卡尔玛比率,0.586,0.302,0.066,-0.124,-0.194,-0.198,-0.178,-0.175,-0.453,-0.451
年化波动率,26.287758752543418,30.82689810766895,26.588939671969953,26.472439066491287,27.615054592527464,27.09053298323147,25.507805881904723,24.534245026079542,29.109994726694836,19.86200040866453
最终资金,1299480.8427620707,1254448.6025250633,1034538.4594885467,922974.3719042144,837846.5883545491,839875.5336030925,828320.844546658,828534.945052962,654841.5108099533,583238.2894732154
