报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,9760.56万,11.37亿,-7.08亿,-4.27亿,27.74亿,,,98.22亿,1.32亿,3.69亿,103.23亿,58.29亿,19.06亿,5.24亿,9.27亿,91.86亿,11.37亿,,3668.77万,2777.85万,195.40万,2.95亿,4.45亿,8.06亿,6.24亿,1.23亿,628.24万,7.61亿,15.14亿,-7.08亿,,1700.00万,1700.00万,42.09亿,False,42.26亿,42.70亿,3.59亿,1634.25万,2354.28万,46.53亿,-4.27亿,9595.80万,9760.56万,26.76亿,27.74亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2025-06-30,,1.16亿,7.10亿,-5.74亿,-1.01亿,27.92亿,,,58.78亿,8082.47万,2.66亿,62.25亿,33.67亿,12.52亿,3.65亿,5.31亿,55.15亿,7.10亿,,3668.77万,1668.29万,201.27万,2.95亿,3.31亿,6.81亿,4.56亿,1.23亿,False,6.76亿,12.55亿,-5.74亿,,1200.00万,1200.00万,26.79亿,False,26.91亿,24.63亿,3.12亿,1634.25万,1641.06万,27.92亿,-1.01亿,8041.86万,1.16亿,26.76亿,27.92亿,,,5.48亿,1374.45万,2.34亿,1.25亿,678.30万,-95.37万,65.47万,-1767.53万,8091.31万,-3510.41万,-1916.26万,1132.86万,9071.75万,-6.67亿,3.00亿,False,7.10亿,,False,,27.92亿,26.76亿,1.16亿
2025-03-31,,-5000.33万,3.04亿,-1.46亿,-2.27亿,26.26亿,,,28.62亿,4134.30万,1.35亿,30.38亿,15.55亿,6.28亿,1.88亿,3.64亿,27.34亿,3.04亿,,3668.77万,1419.40万,23.79万,2.84亿,3.31亿,6.66亿,3.09亿,2070.00万,400.00万,4.79亿,8.12亿,-1.46亿,,700.00万,700.00万,8.05亿,False,8.12亿,9.77亿,6033.83万,False,170.24万,10.39亿,-2.27亿,1870.55万,-5000.33万,26.76亿,26.26亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2024-12-31,,2.18亿,15.38亿,-17.05亿,3.93亿,26.76亿,,,134.63亿,1.60亿,3.94亿,140.18亿,82.68亿,25.79亿,6.94亿,9.39亿,124.80亿,15.38亿,,150.00万,759.14万,2870.05万,2.49万,False,3781.69万,12.04亿,1719.86万,455.15万,5.17亿,17.43亿,-17.05亿,,2049.65万,2049.65万,41.37亿,2049.75万,41.78亿,32.83亿,3.85亿,673.59万,1.18亿,37.85亿,3.93亿,-766.26万,2.18亿,24.58亿,26.76亿,,,8.32亿,1.08亿,5.07亿,2.33亿,1055.45万,-1448.44万,586.84万,-1.23亿,2.44亿,-1219.38万,-3569.33万,-1778.96万,-2.43亿,-5.09亿,4.70亿,False,15.38亿,,False,,26.76亿,24.58亿,2.18亿
2024-09-30,,2.54亿,8.29亿,-10.10亿,4.37亿,27.12亿,,,95.54亿,1.14亿,4.83亿,101.52亿,57.32亿,17.42亿,5.71亿,12.78亿,93.23亿,8.29亿,,False,665.76万,2638.28万,False,False,3304.04万,8.39亿,1725.14万,53.20万,1.86亿,10.43亿,-10.10亿,,2000.00万,2000.00万,30.15亿,2020.00万,30.55亿,22.02亿,3.07亿,False,1.10亿,26.18亿,4.37亿,-255.03万,2.54亿,24.58亿,27.12亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2024-06-30,,5256.13万,3.54亿,-7.92亿,5.07亿,25.11亿,,,61.82亿,5291.85万,2.73亿,65.08亿,39.38亿,11.57亿,4.18亿,6.42亿,61.54亿,3.54亿,,False,503.50万,1553.21万,False,False,2056.71万,6.26亿,50.00万,53.20万,1.86亿,8.13亿,-7.92亿,,2000.00万,2000.00万,22.49亿,False,22.69亿,15.44亿,1.21亿,False,9661.49万,17.61亿,5.07亿,-1692.03万,5256.13万,24.58亿,25.11亿,,,4.09亿,7061.63万,2.36亿,1.10亿,494.87万,-1584.16万,429.83万,-1213.91万,1.28亿,-1277.03万,-2258.39万,-738.55万,-1.10亿,-5.64亿,1.06亿,False,3.54亿,,False,,25.11亿,24.58亿,5256.13万
2024-03-31,,-2.05亿,-3422.38万,-3.15亿,1.63亿,22.53亿,,,30.10亿,2524.93万,1.38亿,31.74亿,20.37亿,6.16亿,2.16亿,3.39亿,32.08亿,-3422.38万,,False,503.50万,1462.29万,False,False,1965.79万,3.34亿,53.20万,False,False,3.34亿,-3.15亿,,2000.00万,False,9.16亿,False,9.36亿,6.81亿,5772.24万,False,3414.96万,7.73亿,1.63亿,-1880.56万,-2.05亿,24.58亿,22.53亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2023-12-31,,4.48亿,16.34亿,-7.18亿,-5.40亿,24.58亿,,,131.70亿,1.74亿,6.12亿,139.56亿,82.15亿,23.79亿,6.00亿,11.28亿,123.22亿,16.34亿,,3.53亿,9715.13万,2.61亿,False,1079.00万,7.22亿,12.99亿,1.01亿,4048.51万,3.77万,14.40亿,-7.18亿,,1.71亿,1.71亿,40.60亿,False,42.31亿,41.87亿,4.71亿,2330.61万,1.13亿,47.71亿,-5.40亿,7287.79万,4.48亿,20.10亿,24.58亿,,,5.53亿,2.54亿,4.63亿,1.99亿,1198.57万,-2087.83万,361.91万,-7001.15万,2.22亿,2.00亿,-3982.03万,7472.84万,-1.66亿,-4.76亿,3.35亿,False,16.34亿,,False,,24.58亿,20.10亿,4.48亿
2023-09-30,,6.74亿,9.05亿,-2.00亿,-3778.45万,26.84亿,,,103.67亿,1.26亿,5.18亿,110.11亿,67.61亿,16.64亿,5.10亿,11.70亿,101.06亿,9.05亿,,3.53亿,8772.23万,2.53亿,88.00万,False,6.95亿,7.75亿,1.16亿,348.61万,3.77万,8.95亿,-2.00亿,,1.06亿,1.06亿,31.96亿,False,33.02亿,29.09亿,3.91亿,False,4002.46万,33.40亿,-3778.45万,767.89万,6.74亿,20.10亿,26.84亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2023-06-30,,6.80亿,6.29亿,1083.81万,425.87万,26.90亿,,,67.19亿,7478.19万,2.83亿,70.77亿,43.82亿,11.28亿,3.49亿,5.89亿,64.48亿,6.29亿,,3.53亿,8772.23万,2.51亿,88.00万,False,6.93亿,6.10亿,6884.24万,348.61万,False,6.82亿,1083.81万,,1.04亿,1.04亿,24.29亿,False,25.33亿,23.68亿,1.24亿,False,3667.43万,25.28亿,425.87万,3585.76万,6.80亿,20.10亿,26.90亿,,,6.28亿,680.56万,2.17亿,9678.38万,758.85万,-2871.72万,213.47万,-4467.31万,7149.26万,-4374.44万,513.32万,-761.89万,-1.07亿,-8.48亿,6.18亿,False,6.29亿,,False,,26.90亿,20.10亿,6.80亿
2023-03-31,,9406.34万,-1272.55万,1.55亿,-3523.37万,21.04亿,,,30.17亿,4445.99万,1.22亿,31.83亿,21.78亿,5.49亿,1.79亿,2.90亿,31.96亿,-1272.55万,,3.52亿,7741.55万,4246.44万,False,False,4.72亿,2.29亿,8769.51万,False,False,3.17亿,1.55亿,,5680.00万,False,13.60亿,False,14.17亿,13.92亿,5462.71万,False,603.27万,14.52亿,-3523.37万,-1302.13万,9406.34万,20.10亿,21.04亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2022-12-31,,-4854.11万,11.92亿,-6.33亿,-6.79亿,20.10亿,,,121.35亿,2.67亿,3.45亿,127.47亿,77.80亿,22.25亿,5.08亿,10.41亿,115.55亿,11.92亿,,130.48万,503.50万,2.33亿,3581.04万,False,2.75亿,8.81亿,526.97万,2269.91万,False,9.08亿,-6.33亿,,3.50亿,3.45亿,47.32亿,82.50万,50.83亿,50.34亿,4.66亿,106.65万,2.62亿,57.62亿,-6.79亿,7168.66万,-4854.11万,20.59亿,20.10亿,,,8.39亿,926.47万,3.95亿,1.58亿,2200.34万,-60.67万,12.38万,307.34万,2.76亿,-9088.49万,2560.04万,-1426.39万,-2.72亿,-10.82亿,8.05亿,False,11.92亿,,False,,20.10亿,20.59亿,-4854.11万
2022-09-30,,1.97亿,7.03亿,-4.76亿,-4483.34万,22.56亿,,,89.11亿,1.96亿,6.56亿,97.63亿,59.48亿,14.89亿,4.48亿,11.74亿,90.60亿,7.03亿,,False,False,2.12亿,3581.04万,False,2.48亿,6.37亿,7132.93万,1529.67万,False,7.23亿,-4.76亿,,3.46亿,3.45亿,42.58亿,False,46.04亿,42.11亿,3.71亿,False,6574.65万,46.48亿,-4483.34万,1454.92万,1.97亿,20.59亿,22.56亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2022-06-30,,2.49亿,4.46亿,-3.09亿,1.14亿,23.08亿,,,56.07亿,1.70亿,5.04亿,62.82亿,37.50亿,10.21亿,2.82亿,7.82亿,58.36亿,4.46亿,,False,False,2.12亿,3581.04万,False,2.47亿,4.70亿,7132.93万,1529.67万,False,5.56亿,-3.09亿,,3.09亿,3.09亿,17.77亿,False,20.86亿,18.40亿,1.21亿,False,1099.49万,19.72亿,1.14亿,-114.46万,2.49亿,20.59亿,23.08亿,,,5.30亿,735.90万,1.97亿,7934.79万,938.80万,-87.11万,31.90万,-3476.53万,1.26亿,-7747.11万,-341.01万,345.41万,-1.08亿,-11.02亿,8.05亿,False,4.46亿,,False,,23.08亿,20.59亿,2.49亿
2022-03-31,,1.04亿,2.10亿,-1.02亿,363.58万,21.62亿,,,28.25亿,4776.39万,4.98亿,33.71亿,21.83亿,4.50亿,1.09亿,4.20亿,31.61亿,2.10亿,,False,False,2.11亿,3581.04万,False,2.47亿,2.82亿,6687.78万,False,False,3.49亿,-1.02亿,,1.08亿,1.08亿,10.17亿,False,11.25亿,10.56亿,6135.54万,False,397.42万,11.22亿,363.58万,-782.71万,1.04亿,20.59亿,21.62亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2021-12-31,,8114.93万,14.80亿,-4.27亿,-9.00亿,20.59亿,,,119.20亿,1.16亿,3.62亿,123.99亿,74.92亿,20.21亿,4.48亿,9.57亿,109.18亿,14.80亿,,False,1088.67万,2.34亿,3.27亿,False,5.72亿,9.52亿,10.00万,4664.59万,False,9.99亿,-4.27亿,,3.57亿,2.30亿,45.80亿,False,49.37亿,51.65亿,4.67亿,1589.00万,2.05亿,58.37亿,-9.00亿,-7213.49万,8114.93万,19.78亿,20.59亿,,,10.57亿,4203.89万,3.72亿,1.33亿,2186.58万,-4.23亿,213.93万,-1.83亿,2.48亿,-349.71万,2629.79万,9303.88万,-2.82亿,-4.68亿,7.76亿,False,14.80亿,,False,,20.59亿,19.78亿,8114.93万
2021-09-30,,3.97亿,7.23亿,4311.82万,-3.38亿,23.75亿,,,85.98亿,1.20亿,4.47亿,91.65亿,53.03亿,14.63亿,4.23亿,12.53亿,84.42亿,7.23亿,,False,585.17万,2.22亿,3.27亿,False,5.55亿,4.65亿,10.00万,4664.59万,False,5.12亿,4311.82万,,1.86亿,False,38.95亿,False,40.81亿,38.33亿,3.85亿,False,2.01亿,44.19亿,-3.38亿,-3100.93万,3.97亿,19.78亿,23.75亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2021-06-30,,-4755.63万,5.44亿,2.74亿,-8.44亿,19.30亿,,,53.28亿,7885.78万,1.79亿,55.85亿,31.77亿,10.65亿,2.48亿,5.51亿,50.41亿,5.44亿,,False,585.17万,2.20亿,3.29亿,False,5.55亿,2.51亿,10.00万,3078.31万,False,2.82亿,2.74亿,,1.33亿,False,14.47亿,False,15.80亿,21.51亿,1.15亿,False,1.58亿,24.24亿,-8.44亿,-2173.73万,-4755.63万,19.78亿,19.30亿,,,4.46亿,886.93万,1.79亿,6732.92万,1101.55万,-505.86万,88.33万,-7212.20万,1.20亿,-8001.41万,4825.78万,-1117.97万,-3.11亿,-10.23亿,11.33亿,False,5.44亿,,False,,19.30亿,19.78亿,-4755.63万
2021-03-31,,-3484.64万,2.44亿,1.11亿,-3.71亿,19.43亿,,,24.45亿,4883.66万,1.76亿,26.70亿,14.24亿,5.65亿,1.07亿,3.30亿,24.26亿,2.44亿,,False,False,2.15亿,1744.10万,False,2.32亿,1.22亿,False,False,False,1.22亿,1.11亿,,False,False,8.72亿,False,8.72亿,10.81亿,5832.17万,False,1.04亿,12.43亿,-3.71亿,-1927.38万,-3484.64万,19.78亿,19.43亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2020-12-31,,3.24亿,12.24亿,-5.82亿,-3.03亿,19.78亿,,,104.86亿,1.06亿,5.08亿,111.00亿,66.19亿,20.04亿,3.81亿,8.71亿,98.75亿,12.24亿,,False,594.18万,1.81亿,False,False,1.87亿,6.78亿,6990.90万,2066.46万,False,7.69亿,-5.82亿,,2.16亿,1.51亿,54.85亿,2784.00万,57.29亿,55.24亿,4.87亿,160.20万,2194.50万,60.32亿,-3.03亿,-1566.58万,3.24亿,16.54亿,19.78亿,,,9.23亿,16.20万,3.55亿,1.29亿,2720.97万,-2.10亿,87.15万,-2390.23万,2.97亿,-8040.87万,-2783.17万,607.56万,4282.66万,-6.93亿,4.27亿,False,12.24亿,,False,,19.78亿,16.54亿,3.24亿
2020-09-30,,2.66亿,7.69亿,-3.79亿,-1.22亿,19.20亿,,,81.15亿,8401.54万,2.19亿,84.18亿,52.59亿,13.40亿,3.73亿,6.77亿,76.49亿,7.69亿,,False,594.18万,1.77亿,False,False,1.82亿,4.71亿,6990.90万,2066.46万,False,5.62亿,-3.79亿,,1.62亿,1.05亿,46.81亿,2784.00万,48.70亿,45.57亿,4.18亿,160.20万,1769.60万,49.92亿,-1.22亿,-162.20万,2.66亿,16.54亿,19.20亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2020-06-30,,5.37亿,4.80亿,-3.48亿,3.99亿,21.91亿,,,54.93亿,5633.30万,1.10亿,56.59亿,34.70亿,9.69亿,2.40亿,5.00亿,51.79亿,4.80亿,,False,594.18万,285.30万,False,False,879.47万,3.06亿,5081.24万,False,False,3.57亿,-3.48亿,,7565.32万,False,29.37亿,2784.00万,30.40亿,22.82亿,3.45亿,35.49万,1418.72万,26.41亿,3.99亿,571.95万,5.37亿,16.54亿,21.91亿,,,3.83亿,-1484.70万,1.82亿,5880.48万,1915.49万,42.99万,27.45万,-5862.81万,1.53亿,-3352.36万,-224.77万,1959.57万,1.33亿,-2.70亿,-1.08亿,False,4.80亿,,False,,21.91亿,16.54亿,5.37亿
2020-03-31,,3.58亿,6391.66万,-1.86亿,4.84亿,20.11亿,,,26.17亿,2328.30万,1.21亿,27.61亿,18.41亿,4.66亿,9719.47万,2.93亿,26.97亿,6391.66万,,False,False,332.61万,False,False,332.61万,1.39亿,5081.24万,False,False,1.90亿,-1.86亿,,False,False,17.37亿,False,17.37亿,11.74亿,7320.38万,35.49万,557.08万,12.53亿,4.84亿,-392.12万,3.58亿,16.54亿,20.11亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2019-12-31,,3.97亿,11.96亿,-6.02亿,-1.82亿,16.54亿,,,94.22亿,1.48亿,6.96亿,102.66亿,56.88亿,19.70亿,4.02亿,10.11亿,90.70亿,11.96亿,,False,580.67万,391.44万,False,False,972.12万,5.57亿,5052.32万,428.21万,False,6.12亿,-6.02亿,,6811.99万,False,66.39亿,False,67.07亿,64.00亿,4.39亿,1348.40万,4937.12万,68.89亿,-1.82亿,-1467.64万,3.97亿,12.57亿,16.54亿,,,10.08亿,1697.03万,3.58亿,1.10亿,2097.30万,465.63万,28.33万,-3.31亿,2.85亿,-8193.74万,-1486.96万,5707.67万,-2.97亿,1.66亿,-1.43亿,False,11.96亿,,False,,16.54亿,12.57亿,3.97亿
2019-09-30,,1692.46万,7.89亿,-3.49亿,-4.30亿,12.74亿,,,84.55亿,1.03亿,2.69亿,88.27亿,53.36亿,15.06亿,3.55亿,8.41亿,80.38亿,7.89亿,,False,580.67万,368.28万,False,False,948.95万,3.03亿,5491.14万,False,False,3.58亿,-3.49亿,,False,False,39.17亿,False,39.17亿,39.21亿,4.05亿,223.68万,2027.90万,43.47亿,-4.30亿,621.03万,1692.46万,12.57亿,12.74亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2019-06-30,,4371.89万,4.37亿,-2.64亿,-1.33亿,13.00亿,,,54.01亿,7907.95万,6990.00万,55.49亿,32.78亿,10.34亿,2.18亿,5.82亿,51.12亿,4.37亿,,False,False,False,364.03万,False,364.03万,2.62亿,507.16万,False,False,2.67亿,-2.64亿,,False,False,25.03亿,False,25.03亿,22.82亿,3.40亿,223.68万,1306.42万,26.35亿,-1.33亿,284.91万,4371.89万,12.57亿,13.00亿,,,6.30亿,948.74万,1.72亿,5432.30万,947.34万,-149.71万,169.16万,-3.00亿,1.47亿,-4085.23万,2089.09万,-249.08万,553.00万,-5.08亿,2.25亿,False,4.37亿,,False,,13.00亿,12.57亿,4371.89万
2019-03-31,,3262.67万,-9641.01万,-1.55亿,2.97亿,12.89亿,,,24.57亿,4522.24万,1.11亿,26.13亿,18.68亿,4.64亿,7805.20万,3.00亿,27.10亿,-9641.01万,,False,False,281.90万,False,False,281.90万,1.57亿,False,False,False,1.57亿,-1.55亿,,False,False,18.08亿,False,18.08亿,14.30亿,7633.96万,False,556.19万,15.12亿,2.97亿,-1288.28万,3262.67万,12.57亿,12.89亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2018-12-31,,-5.18亿,9.75亿,-14.50亿,-709.44万,12.57亿,,,88.96亿,1.24亿,6.96亿,97.15亿,50.97亿,18.57亿,4.87亿,12.99亿,87.40亿,9.75亿,,False,328.60万,932.26万,3.45亿,False,3.58亿,8.08亿,2859.51万,9.72亿,False,18.08亿,-14.50亿,,2043.04万,False,49.75亿,2640.00万,50.22亿,46.15亿,3.91亿,False,2255.22万,50.29亿,-709.44万,-3497.80万,-5.18亿,17.74亿,12.57亿,,,6.88亿,6340.06万,3.01亿,9084.66万,1923.96万,-452.65万,201.98万,-4854.12万,2.99亿,-5642.00万,-3183.42万,3958.70万,-1.02亿,-7.90亿,5.05亿,False,9.75亿,,False,,12.57亿,17.74亿,-5.18亿
2018-09-30,,-4.25亿,6.22亿,-11.79亿,9287.20万,13.49亿,,,77.85亿,8154.75万,2.16亿,80.82亿,49.39亿,12.92亿,3.38亿,8.92亿,74.60亿,6.22亿,,False,328.60万,716.59万,3.45亿,False,3.56亿,5.41亿,2240.05万,9.71亿,False,15.34亿,-11.79亿,,2040.54万,False,37.52亿,2640.00万,37.99亿,34.08亿,2.85亿,False,1312.89万,37.06亿,9287.20万,3860.41万,-4.25亿,17.74亿,13.49亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2018-06-30,,-4.34亿,3.59亿,-11.00亿,3.13亿,13.40亿,,,51.35亿,4764.91万,6323.20万,52.46亿,31.82亿,8.42亿,2.42亿,6.22亿,48.87亿,3.59亿,,False,328.60万,424.93万,3.45亿,False,3.53亿,4.11亿,10.41亿,False,False,14.52亿,-11.00亿,,2160.29万,False,24.14亿,2640.00万,24.62亿,19.55亿,1.86亿,False,792.47万,21.50亿,3.13亿,-569.87万,-4.34亿,17.74亿,13.40亿,,,2.94亿,1550.62万,1.44亿,3536.05万,889.32万,-105.66万,-214.68万,False,1.18亿,-2130.84万,-65.93万,-171.78万,-3663.47万,-5.31亿,3.37亿,False,3.59亿,,False,,13.40亿,17.74亿,-4.34亿
2018-03-31,,-2.42亿,-2690.00万,7442.52万,-2.79亿,15.32亿,,,23.10亿,2999.06万,1498.52万,23.55亿,15.36亿,4.34亿,1.13亿,2.99亿,23.82亿,-2690.00万,,False,False,123.79万,3.45亿,False,3.46亿,2.14亿,False,False,5745.66万,2.72亿,7442.52万,,2160.29万,False,8.24亿,False,8.46亿,10.72亿,4838.44万,False,405.47万,11.25亿,-2.79亿,-1004.70万,-2.42亿,17.74亿,15.32亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2017-12-31,,-1.01亿,3.17亿,-6.93亿,3.18亿,17.74亿,,,69.67亿,1.23亿,2.24亿,73.14亿,40.17亿,17.02亿,3.68亿,9.10亿,69.97亿,3.17亿,,1386.79万,False,2347.19万,9545.08万,False,1.33亿,7.89亿,False,False,3729.28万,8.26亿,-6.93亿,,False,False,48.45亿,False,48.45亿,41.35亿,3.61亿,5153.96万,3053.96万,45.26亿,3.18亿,-4288.46万,-1.01亿,18.75亿,17.74亿,,,6.71亿,4823.51万,2.94亿,8426.25万,1513.67万,-106.05万,1082.08万,-203.35万,2.79亿,-6.57亿,586.44万,229.61万,-3.43亿,-13.36亿,12.45亿,False,3.17亿,,False,,17.74亿,18.75亿,-1.01亿
2017-09-30,,1.09亿,1.06亿,-3.40亿,3.18亿,19.85亿,,,69.11亿,1.16亿,1.22亿,71.49亿,48.24亿,12.50亿,3.02亿,6.67亿,70.43亿,1.06亿,,1386.79万,False,764.16万,5485.17万,False,7636.12万,4.16亿,False,False,False,4.16亿,-3.40亿,,False,False,31.92亿,False,31.92亿,26.58亿,2.03亿,154.22万,1390.07万,28.75亿,3.18亿,2563.03万,1.09亿,18.75亿,19.85亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2017-06-30,,2.40亿,-68.30万,-2.78亿,4.94亿,21.16亿,,,46.02亿,7484.56万,7555.70万,47.53亿,31.53亿,8.64亿,2.12亿,5.24亿,47.54亿,-68.30万,,1386.79万,False,437.00万,False,False,1823.79万,2.97亿,False,False,False,2.97亿,-2.78亿,,False,False,24.33亿,False,24.33亿,17.70亿,1.59亿,154.22万,966.07万,19.39亿,4.94亿,2527.28万,2.40亿,18.75亿,21.16亿,,,1.32亿,1902.29万,1.43亿,3917.61万,767.72万,503.17万,False,False,1.24亿,-882.77万,-3392.50万,321.72万,-3.56亿,-5.43亿,4.67亿,False,-68.30万,,False,,21.16亿,18.75亿,2.40亿
2017-03-31,,2.37亿,-3664.83万,-1.22亿,3.89亿,21.13亿,,,21.68亿,3635.35万,8836.52万,22.92亿,15.08亿,4.73亿,1.00亿,2.48亿,23.29亿,-3664.83万,,1386.79万,False,141.75万,False,False,1528.54万,1.37亿,False,False,False,1.37亿,-1.22亿,,False,False,14.74亿,False,14.74亿,10.31亿,4933.56万,False,420.45万,10.84亿,3.89亿,670.76万,2.37亿,18.75亿,21.13亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2016-12-31,,4.63亿,9441.57万,-20.39亿,24.50亿,18.75亿,,,65.51亿,1.04亿,2.73亿,69.28亿,41.07亿,16.78亿,4.09亿,6.39亿,68.34亿,9441.57万,,944.44万,89.40万,3990.36万,False,False,5024.20万,6.48亿,12.68亿,1.73亿,False,20.89亿,-20.39亿,,16.20亿,2310.00万,36.49亿,1.74亿,54.44亿,26.69亿,3.08亿,False,1800.00万,29.94亿,24.50亿,-4298.22万,4.63亿,14.13亿,18.75亿,,,2.88亿,1246.55万,2.89亿,6388.53万,1224.62万,248.07万,False,-2.08亿,2.61亿,-1674.00万,-1.07亿,2387.28万,-2603.20万,-5.35亿,3415.94万,False,9441.57万,,4230.00万,,18.75亿,14.13亿,4.63亿
2016-09-30,,1.51亿,-9195.19万,-18.90亿,21.23亿,15.64亿,,,62.91亿,6169.30万,1.38亿,64.91亿,43.52亿,12.71亿,3.15亿,6.45亿,65.83亿,-9195.19万,,False,False,1534.85万,False,False,1534.85万,4.94亿,12.26亿,1.85亿,False,19.06亿,-18.90亿,,16.20亿,1960.00万,30.86亿,1.71亿,48.76亿,23.79亿,2.34亿,False,1.40亿,27.53亿,21.23亿,1010.57万,1.51亿,14.13亿,15.64亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2016-06-30,,4.55亿,-1.32亿,-5.37亿,11.16亿,18.68亿,,,40.73亿,3590.96万,9486.85万,42.04亿,28.46亿,7.84亿,2.32亿,4.74亿,43.36亿,-1.32亿,,False,False,1257.49万,False,False,1257.49万,3.37亿,2.12亿,False,False,5.49亿,-5.37亿,,16.20亿,1.48亿,13.78亿,6845.19万,30.66亿,16.65亿,1.79亿,False,1.07亿,19.50亿,11.16亿,678.78万,4.55亿,14.13亿,18.68亿,,,1.62亿,608.80万,1.46亿,2748.70万,360.47万,-955.00万,False,-111.60万,1.11亿,-1182.84万,-1970.38万,-252.12万,6.84万,-5.75亿,3165.40万,False,-1.32亿,,False,,18.68亿,14.13亿,4.55亿
2016-03-31,,6.15亿,-2.58亿,-1.88亿,10.18亿,20.27亿,,,18.81亿,2402.68万,7429.09万,19.79亿,13.74亿,4.42亿,1.14亿,3.07亿,22.37亿,-2.58亿,,False,False,1060.42万,False,False,1060.42万,1.99亿,12.50万,False,False,1.99亿,-1.88亿,,16.00亿,False,7.02亿,2.07亿,25.08亿,13.89亿,4859.45万,False,5320.19万,14.91亿,10.18亿,4346.64万,6.15亿,14.13亿,20.27亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
