报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2009-06-30,,1190.76万,5842.19万,-4384.21万,-267.23万,3.74亿,,,9.74亿,4430.21万,3876.77万,10.57亿,7.83亿,6625.03万,6329.22万,8583.81万,9.99亿,5842.19万,,False,1245.36万,2039.97万,False,False,3285.33万,3940.75万,False,3728.79万,False,7669.54万,-4384.21万,,False,False,3.03亿,False,3.03亿,2.63亿,4254.86万,233.44万,12.37万,3.06亿,-267.23万,False,1190.76万,3.63亿,3.74亿,,,1.20亿,371.56万,1943.57万,102.91万,127.55万,11.68万,False,False,1137.63万,-1819.98万,-144.42万,False,-3124.57万,-1.38亿,8993.29万,False,5842.19万,,False,,3.74亿,3.63亿,1190.76万
2009-03-31,,4337.98万,4826.13万,-1521.72万,1033.57万,4.06亿,,,4.67亿,2372.51万,2945.59万,5.20亿,3.69亿,3490.47万,2733.32万,4043.92万,4.72亿,4826.13万,,False,False,677.02万,False,False,677.02万,2198.74万,False,False,False,2198.74万,-1521.72万,,False,False,1.35亿,False,1.35亿,1.20亿,454.06万,False,12.37万,1.24亿,1033.57万,False,4337.98万,3.63亿,4.06亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2008-12-31,,-434.62万,1.27亿,-8159.26万,-4964.46万,3.63亿,,,20.49亿,8198.04万,5528.04万,21.87亿,17.11亿,1.10亿,9084.91万,1.48亿,20.60亿,1.27亿,,False,968.61万,40.48万,False,534.04万,1543.13万,9702.39万,False,False,False,9702.39万,-8159.26万,,425.00万,False,3.91亿,False,3.95亿,3.75亿,6899.96万,1343.38万,89.50万,4.45亿,-4964.46万,False,-434.62万,3.67亿,3.63亿,,,1.48亿,1979.84万,3454.21万,168.57万,301.53万,64.87万,False,False,2440.54万,-2105.57万,222.88万,False,-4805.02万,-1.48亿,1.10亿,False,1.27亿,,False,,3.63亿,3.67亿,-434.62万
2008-09-30,,-9038.77万,3097.18万,-6648.96万,-5486.99万,2.76亿,,,15.46亿,5157.96万,4163.30万,16.39亿,13.30亿,8314.52万,7493.07万,1.20亿,16.08亿,3097.18万,,False,881.50万,38.40万,False,1820.29万,2740.18万,8126.01万,False,1224.14万,39.00万,9389.14万,-6648.96万,,False,False,2.25亿,False,2.25亿,2.17亿,6286.99万,1343.38万,False,2.80亿,-5486.99万,False,-9038.77万,3.67亿,2.76亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2008-06-30,,-5770.98万,976.98万,-4579.04万,-2168.91万,3.09亿,,,9.52亿,3414.12万,3060.13万,10.17亿,8.30亿,5749.47万,4698.96万,7212.97万,10.07亿,976.98万,,False,881.50万,12.10万,False,1820.29万,2713.89万,6068.80万,False,1224.14万,False,7292.93万,-4579.04万,,False,False,1.68亿,False,1.68亿,1.37亿,5268.91万,764.28万,False,1.89亿,-2168.91万,False,-5770.98万,3.67亿,3.09亿,,,8527.72万,560.85万,1658.14万,83.39万,154.56万,9.31万,False,False,1015.40万,-1807.75万,-112.23万,False,-2921.15万,-1.49亿,8756.89万,False,976.98万,,False,,3.09亿,3.67亿,-5770.98万
2008-03-31,,-7297.09万,-5670.95万,-2325.46万,699.33万,2.94亿,,,3.62亿,1248.46万,1846.10万,3.93亿,3.71亿,2896.73万,1988.65万,3012.35万,4.50亿,-5670.95万,,False,False,6.00万,False,1820.29万,1826.29万,2927.62万,1224.14万,False,False,4151.75万,-2325.46万,,False,False,1.05亿,False,1.05亿,8573.00万,1200.67万,678.52万,False,9773.67万,699.33万,False,-7297.09万,3.67亿,2.94亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2007-12-31,,3556.77万,9495.61万,-7804.14万,1865.29万,3.67亿,,,13.59亿,4464.76万,4563.43万,14.49亿,11.11亿,8099.30万,6485.96万,9789.11万,13.55亿,9495.61万,,2100.00万,605.00万,386.95万,False,False,3091.95万,8626.92万,705.67万,1563.49万,False,1.09亿,-7804.14万,,5.00万,False,4.58亿,False,4.58亿,3.87亿,5209.71万,False,30.00万,4.39亿,1865.29万,False,3556.77万,3.31亿,3.67亿,,,1.22亿,579.24万,3105.74万,155.87万,276.29万,-14.56万,False,False,1644.25万,-1892.01万,-403.78万,False,-6101.66万,-8316.01万,8222.32万,False,9495.61万,,False,,3.67亿,3.31亿,3556.77万
2007-09-30,,-1535.27万,2447.13万,-4918.50万,936.11万,3.16亿,,,9.49亿,2635.11万,3404.12万,10.10亿,8.00亿,6055.70万,5095.92万,7318.18万,9.85亿,2447.13万,,False,605.00万,342.25万,False,False,947.25万,5696.58万,169.17万,False,False,5865.75万,-4918.50万,,5.00万,5.00万,2.91亿,False,2.91亿,2.33亿,4868.89万,645.74万,False,2.82亿,936.11万,False,-1535.27万,3.31亿,3.16亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2007-06-30,,2324.77万,3705.46万,-2780.69万,1399.99万,3.55亿,,,6.12亿,1735.92万,1901.97万,6.49亿,4.98亿,4054.15万,3625.90万,3685.95万,6.12亿,3705.46万,,False,605.00万,334.94万,False,False,939.94万,3551.46万,169.17万,False,False,3720.63万,-2780.69万,,5.00万,5.00万,2.35亿,False,2.35亿,1.83亿,3805.01万,142.79万,False,2.21亿,1399.99万,False,2324.77万,3.31亿,3.55亿,,,5376.14万,471.08万,1567.14万,78.93万,86.45万,-14.74万,False,False,752.50万,-628.53万,-247.00万,False,-4493.62万,-4617.41万,5374.53万,False,3705.46万,,False,,3.55亿,3.31亿,2324.77万
2007-03-31,,-940.91万,-4079.97万,-3677.68万,6816.74万,3.22亿,,,2.36亿,121.30万,601.12万,2.43亿,2.28亿,2084.94万,1627.38万,1888.63万,2.84亿,-4079.97万,,False,False,310.09万,False,False,310.09万,1718.61万,2269.17万,False,False,3987.77万,-3677.68万,,False,False,2.10亿,False,2.10亿,1.38亿,383.26万,46.67万,False,1.42亿,6816.74万,False,-940.91万,3.31亿,3.22亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2006-12-31,,8369.63万,9231.91万,-1.82亿,1.73亿,3.31亿,,,10.06亿,2430.77万,5483.85万,10.86亿,8.24亿,5896.29万,5725.96万,5313.94万,9.93亿,9231.91万,,False,900.05万,2206.84万,False,False,3106.89万,7959.37万,1.33亿,False,False,2.13亿,-1.82亿,,2.60亿,25.00万,2.28亿,False,4.88亿,2.77亿,3741.14万,False,38.72万,3.15亿,1.73亿,False,8369.63万,2.48亿,3.31亿,,,9823.23万,583.39万,2892.82万,124.20万,215.99万,-907.33万,False,False,1677.66万,-873.07万,-56.19万,False,-2014.88万,-8421.47万,6187.53万,False,9231.91万,,False,,3.31亿,2.48亿,8369.63万
2006-09-30,,1.90亿,4164.77万,-5544.10万,2.03亿,4.32亿,,,6.88亿,1476.13万,2812.79万,7.31亿,5.73亿,4324.45万,4263.82万,3107.52万,6.90亿,4164.77万,,False,False,102.24万,False,False,102.24万,5524.33万,122.00万,False,False,5646.33万,-5544.10万,,2.60亿,25.00万,2.16亿,False,4.77亿,2.39亿,3415.19万,False,38.72万,2.73亿,2.03亿,False,1.90亿,2.43亿,4.32亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2006-06-30,,3764.61万,6687.82万,-2714.51万,-208.71万,2.80亿,,,4.51亿,740.92万,1562.17万,4.75亿,3.39亿,2877.83万,2277.37万,1670.68万,4.08亿,6687.82万,,False,False,101.09万,False,False,101.09万,2693.60万,122.00万,False,False,2815.60万,-2714.51万,,25.00万,25.00万,2.01亿,False,2.01亿,1.76亿,2783.71万,False,False,2.04亿,-208.71万,False,3764.61万,2.43亿,2.80亿,,,3928.32万,127.92万,1353.24万,56.07万,124.89万,-15.76万,3800.00,False,688.66万,35.80万,-17.49万,False,-2829.72万,-1905.36万,5140.87万,False,6687.82万,,False,,2.80亿,2.43亿,3764.61万
2006-03-31,,-5414.00万,-747.53万,-657.71万,-4008.76万,1.89亿,,,1.92亿,226.64万,682.03万,2.02亿,1.71亿,1534.66万,1193.39万,1028.29万,2.09亿,-747.53万,,False,False,38.00万,False,False,38.00万,573.71万,122.00万,False,False,695.71万,-657.71万,,25.00万,25.00万,6700.00万,False,6725.00万,1.04亿,310.76万,False,False,1.07亿,-4008.76万,False,-5414.00万,2.43亿,1.89亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2005-12-31,,-72.79万,5492.50万,-9634.24万,4068.94万,False,,,7.40亿,1347.75万,1374.11万,7.67亿,5.96亿,4611.04万,3811.82万,3209.16万,7.12亿,5492.50万,,1169.85万,794.73万,165.47万,False,1248.85万,3378.90万,1.02亿,2854.85万,False,False,1.30亿,-9634.24万,,600.00万,False,2.57亿,False,2.63亿,1.90亿,3171.06万,False,False,2.22亿,4068.94万,False,-72.79万,False,False,,,7332.19万,-202.89万,2602.40万,21.26万,232.51万,-73.58万,-1.79万,False,1077.07万,-749.46万,False,False,-3471.36万,-5244.14万,4018.04万,False,5492.50万,,False,,2.43亿,2.43亿,-72.79万
