代码,简称,ROE-3年平均,ROE-22A,ROE-23A,ROE-24A,净利率-3年平均,净利率-22A,净利率-23A,净利率-24A,总资产周转率-3年平均,总资产周转率-22A,总资产周转率-23A,总资产周转率-24A,权益乘数-3年平均,权益乘数-22A,权益乘数-23A,权益乘数-24A,ROE-3年平均排名
行业中值,行业中值,7.375,9.195,6.955,6.465,6.825,9.48,7.405,6.55,66.89,72.725,66.06,62.375,159.735,159.69,161.0,167.645,
行业平均,行业平均,9.31,13.04,8.51,6.37,8.47,10.63,8.05,6.73,70.09,77.64,68.07,64.57,168.34,170.94,166.36,167.73,
920593,鼎智科技,25.39,53.06,17.31,5.8,25.74,31.67,28.52,17.04,67.74,120.28,52.17,30.77,118.0,136.65,107.22,110.14,1.0
920100,三协电机,21.82,18.54,24.63,22.28,12.1,9.42,13.46,13.42,106.68,113.66,109.51,96.87,165.86,156.98,173.25,167.35,2.0
603350,安乃达,21.09,30.05,22.64,10.57,9.44,10.78,10.34,7.19,117.13,147.83,118.08,85.49,176.44,177.35,190.99,160.99,3.0
603344,星德胜,19.55,25.03,20.69,12.94,9.31,10.33,9.51,8.09,123.18,129.73,132.95,106.87,155.99,160.56,166.14,141.26,4.0
002176,江特电机,18.76,74.81,-9.82,-8.72,1.79,35.42,-14.04,-16.01,59.15,103.81,41.24,32.4,174.03,168.13,164.94,189.03,5.0
600580,卧龙电驱,7.74,9.3,5.76,8.16,4.85,5.88,3.55,5.12,63.74,62.76,64.71,63.74,230.84,231.21,230.46,230.86,13.0
