指标,值
总收益率,67.77%
年化收益率,31.72%
夏普比率,1.189
卡尔玛比率,1.517
最大回撤,20.92%
年化波动率,24.07%
总交易次数,8
胜率,25.00%
盈亏比,9.302
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,677,719"
总盈利,"941,904"
总亏损,"253,152"
strategy_name,KDJ超卖反弹策略
