指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,94,89,93,94,86,85,99,102,97,94
参数_j_oversold,14,16,12,2,8,8,1,12,12,15
参数_macd_fast,8,13,15,10,15,10,15,9,8,9
参数_macd_signal,9,9,11,10,7,10,12,7,9,6
参数_macd_slow,34,31,29,26,27,27,24,28,24,30
夏普比率,1.779,1.733,1.649,1.648,1.618,1.618,1.334,1.008,0.950,0.000
总收益率,175.89%,191.36%,160.97%,160.97%,155.94%,155.94%,116.02%,68.29%,65.24%,0.00%
年化收益率,71.66%,76.72%,66.65%,66.65%,64.93%,64.93%,50.69%,31.93%,30.66%,0.00%
最大回撤,22.90%,22.89%,22.89%,22.89%,22.89%,22.89%,28.80%,28.79%,28.81%,0.00%
胜率,66.67%,50.00%,50.00%,50.00%,50.00%,50.00%,25.00%,0.00%,0.00%,0.00%
总交易次数,3,4,4,4,4,4,4,2,3,0
盈亏比,13.169,15.974,14.556,14.553,14.133,14.133,4.912,0.000,0.000,0.000
卡尔玛比率,3.129,3.351,2.912,2.911,2.836,2.836,1.760,1.109,1.064,0.000
年化波动率,33.097628926586594,36.389920931592656,34.0162946970371,34.02761081267522,33.9799855990044,33.9799855990044,34.20197558958342,30.202273787031608,31.353991164154653,0.0
最终资金,2758885.5021656333,2913580.8543735375,2609690.608985241,2609664.9361790894,2559366.5554132406,2559366.5554132406,2160150.299916243,1682883.9905805779,1652378.2321533882,1000000.0
