指标,值
总收益率,40.94%
年化收益率,20.04%
夏普比率,0.603
卡尔玛比率,0.544
最大回撤,36.84%
年化波动率,40.04%
总交易次数,3
胜率,33.33%
盈亏比,9.941
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,409,356"
总盈利,"513,521"
总亏损,"103,313"
strategy_name,MACD趋势策略
