指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_fast,11,12,9,13,8,8,12,14,15,15
参数_signal,7,6,8,10,8,7,7,11,12,11
参数_slow,28,31,31,25,30,35,29,26,24,29
夏普比率,0.603,0.603,0.603,-0.044,-0.374,-0.374,-1.298,-1.600,-1.600,-1.600
总收益率,40.94%,40.94%,40.94%,-7.68%,-25.90%,-25.90%,-23.98%,-5.34%,-5.34%,-5.34%
年化收益率,20.04%,20.04%,20.04%,-4.17%,-14.75%,-14.75%,-13.58%,-2.88%,-2.88%,-2.88%
最大回撤,36.84%,36.84%,36.84%,36.83%,40.20%,40.20%,23.98%,6.33%,6.33%,6.33%
胜率,33.33%,33.33%,33.33%,33.33%,14.29%,14.29%,0.00%,0.00%,0.00%,0.00%
总交易次数,3,3,3,3,7,7,5,1,1,1
盈亏比,9.941,9.941,9.941,0.522,0.488,0.488,0.000,0.000,0.000,0.000
卡尔玛比率,0.544,0.544,0.544,-0.113,-0.367,-0.367,-0.566,-0.455,-0.455,-0.455
年化波动率,40.04358081585093,40.04358081585093,40.04358081585093,34.23320935823651,35.490186284346656,35.490186284346656,13.356773907805659,3.739089890240002,3.739089890240002,3.739089890240002
最终资金,1409356.1240621563,1409356.1240621563,1409356.1240621563,923157.8017271839,740971.1738280121,740971.1738280121,760165.8216002333,946600.5632042709,946600.5632042709,946600.5632042709
