日期,当日收盘价,当日涨跌幅,总市值,流通市值,总股本,流通股本,市盈率,市盈率(静),市净率,PEG值,市现率,市销率
2025-11-06,65.8,4.03162055336,15311726721.2,13336344000.0,232701014,202680000,-268.40366716,932.52991831,3.16722774,-53.352066334034,115.73467621,2.5429224
2025-11-05,63.25,1.07062959412,14718339135.5,12819510000.0,232701014,202680000,-258.00200529,896.39084093,3.04448563,-51.284471058812,111.24951779,2.44437449
2025-11-04,62.58,0.128,14562429456.12,12683714400.0,232701014,202680000,-255.26901962,886.8954755,3.01223574,-50.741220535081,110.0710644,2.41848151
2025-11-03,62.5,-3.400309119011,14543813375.0,12667500000.0,232701014,202680000,-254.94269297,885.76170053,3.00838501,-50.676354800341,109.93035354,2.41538981
2025-10-31,64.7,1.745557477591,15055755605.8,13113396000.0,232701014,202680000,-263.91667576,916.94051239,3.11428016,-52.460162488807,113.79990199,2.50041153
2025-10-30,63.59,9.998270195468,14797457480.26,12888421200.0,232701014,202680000,-189.77081447,901.20938458,3.06085124,-37.72178371852,63.27085618,2.4925881
2025-10-29,57.81,-0.447735491648,13452445619.34,11716930800.0,232701014,202680000,-172.52163524,819.29414252,2.7826358,-34.293069929979,57.51986469,2.26602482
2025-10-28,58.07,2.560932532674,13512947882.98,11769627600.0,232701014,202680000,-173.29754987,822.97891119,2.79515068,-34.447302728835,57.77855981,2.27621624
2025-10-27,56.62,3.510054844607,13175531412.68,11475741600.0,232701014,202680000,-168.97033363,802.42923974,2.72535615,-33.587158266872,56.33583703,2.21937943
2025-10-24,54.7,1.691764268451,12728745465.8,11086596000.0,232701014,202680000,-163.24050246,775.2186403,2.63293856,-32.448208356465,54.42547308,2.14411966
2025-10-23,53.79,-0.738143568924,12516987543.06,10902157200.0,232701014,202680000,-160.52480124,762.32194994,2.58913647,-31.908393557487,53.52004016,2.10844966
2025-10-22,54.19,-2.571017619561,12610067948.66,10983229200.0,232701014,202680000,-161.71851606,767.99082482,2.60839014,-32.145674787414,53.91803265,2.12412878
2025-10-21,55.62,-4.219045978991,12942830398.68,11273061600.0,232701014,202680000,-165.98604656,788.25705253,2.67722199,-32.993955188079,55.34085581,2.18018163
2025-10-20,58.07,0.155225939979,13512947882.98,11769627600.0,232701014,202680000,-173.29754987,822.97891119,2.79515068,-34.447302728835,57.77855981,2.27621624
2025-10-17,57.98,1.222067039106,13492004791.72,11751386400.0,232701014,202680000,-173.02896404,821.70341434,2.7908186,-34.393914452996,57.6890115,2.27268844
2025-10-16,57.28,-0.347947112039,13329114081.92,11609510400.0,232701014,202680000,-170.93996309,811.7828833,2.75712469,-33.978672297642,56.99252464,2.24524998
2025-10-15,57.48,-0.121633362294,13375654284.72,11650046400.0,232701014,202680000,-171.53682051,814.61732074,2.76675152,-34.097312914593,57.19152089,2.25308954
