日期,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润
2025-09-30,4554000000.0,209000000.0,134000000.0,4896000000.0,4254000000.0,267000000.0,44173300.0,78807900.0,4643000000.0,252999999.99999997,1130000000.0,,2077500.0,,,1132000000.0,180000000.0,672000000.0,,,852000000.0,280000000.0,990000000.0,2138000000.0,295000000.0,3422999999.9999995,2654000000.0,54846800.0,373000000.0,3082000000.0,341000000.0,-679000.0,874000000.0,160000000.0,1033000000.0,
2025-06-30,3292000000.0,88995500.0,60570900.0,3440999999.9999995,3057000000.0,191000000.0,32607800.000000004,71113300.0,3351000000.0,90143200.0,830000000.0000001,,1466900.0,,,831000000.0,80473900.0,352000000.0,,,432000000.0,399000000.0,,1650000000.0,123000000.0,1773000000.0,1668000000.0,39043800.0,237000000.0,1944000000.0,-171000000.0,-345000.0,318000000.0,160000000.0,478000000.0,-102000000.0
2025-03-31,1664999999.9999998,31888000.0,12141199.999999998,1709000000.0,1496000000.0,116000000.0,10412800.0,45782500.0,1667000000.0000002,41834700.0,400000000.0,,226600.0,,,400000000.0,42852400.0,,,,42852400.0,357000000.0,,1314000000.0,,1314000000.0,1065000000.0,20089500.0,204999999.99999997,1290000000.0,23752900.0,-88100.0,423000000.00000006,160000000.0,582000000.0,
2024-12-31,4999000000.0,288000000.0,87587500.0,5374000000.0,5187000000.0,349000000.0,96801800.0,190000000.0,5822000000.0,-448000000.00000006,10000000.0,168100.0,1905000.0,,1653000.0,13726099.999999998,556000000.0,1190000000.0,,,1746000000.0,-1732999999.9999998,23847700.0,2422000000.0,,2446000000.0,621000000.0,78215300.0,2609400.0,701000000.0,1745000000.0,-421300.0,-436000000.00000006,595000000.0,160000000.0,-75181600.0
2024-09-30,3890999999.999999,224000000.00000003,41130800.0,4156000000.0,4003000000.0,276000000.0,72120000.0,131000000.0,4483000000.0,-327000000.0,5000000.0,101400.0,1117900.0,,1653000.0,7872300.0,455999999.99999994,10000000.0,,,466000000.0,-458000000.0,,2200000000.0,,2200000000.0,529000000.0,57492100.0,2198400.0,588000000.0,1611000000.0,-365000.0,826000000.0,595000000.0,1422000000.0,
2024-06-30,2238000000.0,162000000.0,27210300.000000004,2427000000.0,2692000000.0,197000000.0,54090200.00000001,75650300.0,3019000000.0,-591000000.0,,,442700.00000000006,,1653000.0,2095700.0,322000000.0,10000000.0,,,332000000.0,-330000000.0,,1876000000.0,,1876000000.0,307000000.0,37164100.0,2198400.0,346000000.0,1530000000.0,9400.0,609000000.0,595000000.0,1205000000.0,-4950300.0
2024-03-31,940000000.0,80661300.0,8880200.0,1029000000.0,1115000000.0,120000000.0,27022100.0,25164400.0,1287000000.0,-258000000.0,,,165200.0,,1653000.0,1818200.0,146000000.0,5000000.0,,,151000000.0,-149000000.0,,1393000000.0,,1393000000.0,256999999.99999997,9844800.0,,267000000.0,1126000000.0,67100.0,719000000.0,595000000.0,1314000000.0,
2023-12-31,5801000000.0,469000000.00000006,103000000.0,6373000000.0,6189000000.0,355000000.0,88948900.0,172000000.0,6806000000.0,-432000000.0,50770000.0,43099.99999999999,5960900.0,,2270500.0,59044500.0,817000000.0,,,17205900.0,834000000.0,-775000000.0,92462600.0,997000000.0,,1090000000.0,305000000.0,98004100.0,11076600.0,413999999.99999994,676000000.0,-9993900.0,-542000000.0,1137000000.0,595000000.0,-62672900.0
2023-09-30,4988000000.0,280000000.0,35795900.0,5304000000.0,5047000000.0,282000000.0,64748300.0,98173400.0,5491000000.0,-187000000.0,50770000.0,43099.99999999999,2484400.0,,2270500.0,55568000.0,581000000.0,,,17352800.0,598000000.0,-543000000.0,91597600.0,642000000.0,,734000000.0,202999999.99999997,92286600.0,7527300.0,302000000.0,430999999.99999994,-2288800.0,-301000000.0,1137000000.0,836999999.9999999,
2023-06-30,3109000000.0,191000000.0,26951200.0,3327000000.0000005,3122000000.0,211000000.0,46798100.00000001,70081500.0,3450000000.0,-123000000.0,50770000.0,40700.0,1606300.0,,,52416899.99999999,355000000.0,,,16723100.0,371000000.0,-319000000.0,80350000.0,553000000.0,,633000000.0,37244100.0,71614300.0,2828900.0,112000000.0,521000000.0,-4277600.0,75238100.0,1137000000.0,1213000000.0,-15320300.0
