日期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2025-09-30,-62201800.0,-652.16,-66026500.0,-2687.63,4635000000.0,11.41,-0.3,20.78,5.91,13.05,1.09,-2.68,4.52,-1.52,-1.29,128.96,6.96,38.82,90.14,1.28,0.87,0.78,1.1,50.55
2025-06-30,-56337800.0,-248.03,-57134799.99999999,-282.11,3011000000.0,14.87,-0.28,19.02,2.09,15.01,0.44,-3.38,4.76,-1.45,-1.46,128.28,4.65,38.69,89.59,1.04,0.67,0.58,1.54,58.34
2025-03-31,-28538900.0,-203.07,-29635500.0,-225.5,1588000000.0,30.09,-0.14,19.13,2.09,15.15,0.21,-3.42,5.6,-0.74,-0.74,122.91,2.42,37.23,85.68,1.07,0.67,0.62,1.53,58.15
2024-12-31,16419600.0,-12.32,5387800.0,-59.29,5547000000.0,-1.56,0.08,19.22,2.07,15.29,-2.21,-1.36,5.45,0.42,0.42,100.26,10.2,35.31,64.95,1.06,0.51,0.47,1.37,55.19
2024-09-30,11265100.0,-83.95,2551600.0,-96.05,4161000000.0,-5.43,0.06,19.24,2.12,15.27,-1.61,-1.52,5.31,0.29,0.29,90.9,8.19,32.99,57.91,1.12,0.88,0.82,1.31,54.15
2024-06-30,38057200.0,97.51,31374000.0,105.47,2621000000.0,-8.3,0.19,19.37,2.12,15.4,-2.92,-0.19,6.48,0.97,0.97,86.15,4.69,38.38,47.77,1.21,0.86,0.79,1.1,49.58
2024-03-31,27690000.0,246.44,23613900.0,211.14,1221000000.0,-16.43,0.14,19.36,2.11,15.39,-1.27,0.52,7.01,0.71,0.71,84.57,2.6,34.62,49.95,1.42,1.09,1.0,1.01,47.36
2023-12-31,18726000.0,-97.9,13234300.0,-98.46,5635000000.0,-32.24,0.09,19.2,2.11,15.25,-2.13,-1.11,6.51,0.48,0.48,75.51,12.79,28.16,47.36,0.92,0.64,0.57,0.74,39.73
2023-09-30,70190900.0,-91.86,64583100.00000001,-92.35,4399000000.0,-31.96,0.35,19.48,2.13,15.5,-0.92,0.42,6.96,1.78,1.78,70.3,9.88,27.33,42.97,1.13,0.79,0.75,0.6,34.73
2023-06-30,19268600.0,-97.04,15269100.0,-97.61,2858000000.0,-16.59,0.1,19.19,2.12,15.25,-0.61,-0.54,5.12,0.49,0.5,69.82,6.41,28.08,41.74,1.45,1.12,0.96,0.62,35.15
2023-03-31,7992600.0,-98.22,7589500.0,-98.3,1461000000.0,-17.5,0.04,19.5,2.15,15.5,-1.31,-0.73,5.55,0.2,0.2,71.77,3.16,28.44,43.33,1.76,1.26,1.04,0.54,32.56
2022-12-31,891000000.0,-24.42,857000000.0,-26.4,8316000000.0,17.86,4.39,19.44,2.12,15.46,4.18,10.68,17.88,25.3,22.6,53.13,21.04,17.11,36.02,1.87,1.45,1.28,0.5,30.49
2022-09-30,861999999.9999999,16.25,844999999.9999999,14.48,6466000000.0,27.92,4.25,19.36,2.1,15.32,4.93,13.56,20.43,24.51,21.97,49.49,16.1,16.77,32.72,2.3,1.79,1.6,0.49,30.19
2022-06-30,651000000.0,10.15,638000000.0,8.36,3427000000.0000005,-6.02,3.21,18.28,2.07,14.28,5.47,19.63,29.6,19.01,17.57,60.75,6.73,26.74,34.01,3.06,2.49,2.35,0.35,23.7
2022-03-31,450000000.0,94.08,446000000.0,92.74,1771000000.0,5.1,2.22,17.57,2.07,13.59,2.53,27.24,40.13,13.51,12.64,63.49,3.51,25.65,37.84,3.13,2.66,2.0,0.36,23.83
