日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,WEEKLY_KDJ_K,WEEKLY_KDJ_D,WEEKLY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,BBI,VOLUME_MA5,VOLUME_MA10,ATR
2025-11-06,63.01,65.8,68.59,62.85,166433,1090222830.0,9.08,4.03,2.55,8.21,4.563508357966647,4.236780313228669,0.6534560894759558,68.635146126032,66.21762635874353,73.47018566060893,79.80245821539066,76.76420034558534,85.8789739550013,68.35680751173709,66.83044661795596,58.2375,49.64455338204404,61.01531250000001,172012.8,140952.1,3.884285714285716
2025-11-05,60.81,63.25,64.36,60.14,122781,769285606.0,6.74,1.07,0.67,6.06,4.411747655035178,4.155098302044174,0.5132987059820078,64.32443205329818,65.0088664750993,62.95556320969595,79.80245821539066,76.76420034558534,85.8789739550013,65.34704370179948,65.70541662889553,57.6025,49.499583371104464,59.95,163027.6,131536.7,3.6985714285714297
2025-11-04,62.86,62.58,66.0,62.07,146860,936618222.0,6.29,0.13,0.08,7.25,4.41351130103849,4.090935963796423,0.6451506744841335,65.56428577072364,65.35108368599985,65.99068994017122,79.80245821539066,76.76420034558534,85.8789739550013,63.43519494204427,65.07057604640308,57.029999999999994,48.98942395359691,59.531354166666674,157043.0,130324.3,3.844285714285715
2025-11-03,64.49,62.5,64.7,60.0,160298,989224632.0,7.26,-3.4,-2.2,7.91,4.419784008467616,4.010292129485906,0.8189837579634194,67.91959938779279,65.24448264363795,73.26983287610244,79.80245821539066,76.76420034558534,85.8789739550013,63.04691618344756,64.99856576364759,56.255500000000005,47.51243423635242,59.04270833333334,158306.8,129133.6,3.9335714285714296
2025-10-31,63.59,64.7,69.0,63.0,263692,1740648929.0,9.44,1.75,1.11,13.01,4.371647951281261,3.9079191597404783,0.9274575830815656,71.69647225242088,63.906924271560534,87.27556821414156,76.53342048699959,75.24507141068268,79.11011863963338,76.2820512820513,65.38090738674303,55.271,45.16109261325696,58.002500000000005,149620.8,128261.1,3.9835714285714294
2025-10-30,57.5,63.59,63.59,57.48,121507,741827560.0,10.57,10.0,5.78,6.0,4.022621231726589,3.7919869618552826,0.4612685397426128,70.65446447619227,60.01215028113037,91.93909286631607,76.53342048699959,75.24507141068268,79.11011863963338,80.0249169435216,64.82004460285057,54.1485,43.476955397149425,56.60958333333334,109891.4,117419.8,4.110714285714287
2025-10-29,57.29,57.81,59.95,57.04,92858,538061746.0,5.01,-0.45,-0.26,4.58,3.631643546306236,3.734328394387456,-0.2053696961624389,55.9816967142884,54.69099318359942,58.56310377566638,76.53342048699959,75.24507141068268,79.11011863963338,60.57476425684779,63.99649810547545,53.096,42.195501894524554,55.29239583333334,100045.8,123010.4,3.984285714285715
2025-10-28,55.62,58.07,60.06,55.61,153179,892243874.0,7.86,2.56,1.45,7.56,3.6682990307870753,3.75999960640776,-0.1834011512413695,51.122608123134995,54.04564141825492,45.27654153289515,76.53342048699959,75.24507141068268,79.11011863963338,63.44916344916346,64.22665185395535,52.237,40.247348146044665,54.7146875,103605.6,133845.4,4.001428571428572
2025-10-27,55.73,56.62,58.58,54.93,116868,660983801.0,6.67,3.51,1.92,5.77,3.635254954167536,3.7829247503129313,-0.2953395922907909,45.10192604151542,55.50715806581488,24.29146199291651,76.53342048699959,75.24507141068268,79.11011863963338,67.93375987956341,63.942893418974286,51.4235,38.90410658102572,54.00791666666667,99960.4,147085.9,4.02
2025-10-24,54.5,54.7,54.99,53.93,65045,354428985.0,1.97,1.69,0.91,3.21,3.6878386243125263,3.81984219934928,-0.2640071500735077,46.49499432543104,60.7097740779646,18.065434820363933,79.06931700122827,74.60089687252423,88.00615725863634,70.549602488766,63.62543609123507,50.697500000000005,37.76956390876494,53.65270833333333,106901.4,147597.4,4.048571428571429
