代码,简称,基本每股收益增长率-3年复合,基本每股收益增长率-24A,基本每股收益增长率-TTM,基本每股收益增长率-25E,基本每股收益增长率-26E,基本每股收益增长率-27E,营业收入增长率-3年复合,营业收入增长率-24A,营业收入增长率-TTM,营业收入增长率-25E,营业收入增长率-26E,营业收入增长率-27E,净利润增长率-3年复合,净利润增长率-24A,净利润增长率-TTM,净利润增长率-25E,净利润增长率-26E,净利润增长率-27E,基本每股收益增长率-3年复合排名
行业中值,行业中值,-22.98,-4.18,0.31,13.44,34.025,24.63,3.09,4.54,3.91,14.055,16.93,14.76,-13.07,-2.74,4.02,19.41,31.3,25.785,
行业平均,行业平均,-52.20865497076,37.316725146199,-10.168343195266,2.847674418605,89.658488372093,38.785647058824,3.161228070175,5.463625730994,7.261578947368,20.909534883721,25.234534883721,16.913411764706,-49.824970760234,14.976842105263,-117.083274853801,-22.132716049383,62.052839506173,39.49275,
300641,正丹股份,123.67,11650.0,28.75,,,,25.53,126.31,-7.56,,,,124.99,11949.3,28.74,,,,1.0
002096,易普力,63.67,1.79,21.72,21.15,16.13,15.17,64.18,1.4,13.65,17.53,15.79,13.6,144.91,12.91,22.88,21.57,16.12,14.78,2.0
600866,星湖科技,57.94,39.14,47.97,42.07,5.86,11.31,62.08,-0.23,-4.66,3.83,9.87,4.5,56.23,38.52,46.96,43.36,8.16,10.22,3.0
603725,天安新材,47.03,-19.51,-6.36,29.8,25.89,19.49,14.51,-1.32,2.12,4.93,8.08,7.88,49.2,-17.41,-10.87,28.93,26.25,19.44,4.0
002476,宝莫股份,46.49,970.93,145.86,,,,-6.41,39.07,30.83,,,,46.47,977.59,145.86,,,,5.0
603026,石大胜华,-76.03,-11.11,-23.6,,,,-7.71,-1.56,11.59,,,,-138.68,-19.96,5.71,,,,134.0
