日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
2025-06-30,按产品分类,碳酸二甲酯系列,1259911412.02,0.418455,1156891256.61,0.403422,103020155.41,0.719555,0.081768
2025-06-30,按产品分类,其他,773931874.96,0.257046,775767816.15,0.27052,-1835941.19,-0.012823,-0.002372
2025-06-30,按产品分类,MTBE系列,553702063.77,0.183901,537720041.45,0.187509,15982022.32,0.111628,0.028864
2025-06-30,按产品分类,贸易产品,376674963.23,0.125105,362270592.99,0.126328,14404370.24,0.100609,0.038241
2025-06-30,按产品分类,液化气系列,32821288.85,0.010901,32701404.1,0.011403,119884.75,0.000837,0.003653
2025-06-30,按产品分类,其他,13825490.78,0.004592,2343885.22,0.000817,11481605.56,0.080194,0.830466
2025-06-30,按地区分类,国内地区,2445499856.54,0.812224,2410994332.57,0.840743,34505523.97,0.241007,0.01411
2025-06-30,按地区分类,国外地区,551541746.29,0.183184,454356778.74,0.15844,97184967.55,0.678798,0.176206
2025-06-30,按地区分类,其他,13825490.78,0.004592,2343885.22,0.000817,11481605.56,0.080194,0.830466
2024-12-31,按产品分类,其他,9024608.49,0.001627,6207688.95,0.001184,2816919.54,0.009325,0.312138
2024-12-31,按产品分类,碳酸二甲酯系列,2350949043.41,0.423844,2097223500.78,0.399879,253725542.63,0.839917,0.107925
2024-12-31,按产品分类,甲基叔丁基醚系列,1198683899.49,0.216106,1136501067.49,0.216697,62182832.0,0.205846,0.051876
2024-12-31,按产品分类,贸易业务系列,685132968.01,0.12352,661095655.81,0.126052,24037312.2,0.079572,0.035084
2024-12-31,按产品分类,其他,1237311965.09,0.223071,1280853013.34,0.244221,-43541048.25,-0.144135,-0.03519
2024-12-31,按地区分类,其他,9024608.49,0.001627,6207688.95,0.001184,2816919.54,0.009325,0.312138
2024-12-31,按地区分类,国内地区,4283272085.81,0.772216,4200484593.32,0.800909,82787492.49,0.274054,0.019328
2024-12-31,按地区分类,国外地区,1254432973.37,0.226157,1037953228.94,0.197907,216479744.43,0.716621,0.172572
2024-12-31,按产品分类,气体系列,65627183.18,0.011832,62764584.84,0.011967,2862598.34,0.009476,0.043619
2024-06-30,按地区分类,其他,4322274.12,0.001649,2553000.12,0.001042,1769274.0,0.01042,0.409339
2024-06-30,按产品分类,MTBE系列,669837166.06,0.255564,620230077.1,0.253029,49607088.96,0.292161,0.074058
2024-06-30,按产品分类,贸易产品,421767293.75,0.160918,409490907.95,0.167056,12276385.8,0.072302,0.029107
2024-06-30,按产品分类,其他,348305968.52,0.13289,373332244.75,0.152305,-25026276.23,-0.147392,-0.071851
2024-06-30,按产品分类,碳酸二甲酯系列,1144708237.05,0.436743,1015101161.32,0.414121,129607075.73,0.76332,0.113223
2024-06-30,按产品分类,其他,4322274.12,0.001649,2553000.12,0.001042,1769274.0,0.01042,0.409339
2024-06-30,按地区分类,国内地区,1942270903.58,0.741038,1876745095.2,0.765637,65525808.38,0.385914,0.033737
2024-06-30,按地区分类,国外地区,674420044.07,0.257313,571921235.17,0.233321,102498808.9,0.603666,0.151981
2024-06-30,按产品分类,液化气系列,32072282.27,0.012237,30511939.26,0.012448,1560343.01,0.00919,0.048651
2023-12-31,按产品分类,碳酸二甲酯系列,2496921327.64,0.443126,2272192166.12,0.431308,224729161.52,0.612934,0.090002
2023-12-31,按产品分类,贸易业务系列,1433855834.01,0.254465,1402340924.9,0.266193,31514909.11,0.085955,0.021979
2023-12-31,按产品分类,甲基叔丁基醚系列,1218527785.45,0.216251,1131092275.71,0.214704,87435509.74,0.238474,0.071755
2023-12-31,按产品分类,其他,403690905.58,0.071643,399817821.19,0.075893,3873084.39,0.010564,0.009594
2023-12-31,按产品分类,气体系列,61680335.83,0.010946,56740047.8,0.01077,4940288.03,0.013474,0.080095
2023-12-31,按产品分类,其他,20112132.68,0.003569,5959922.83,0.001131,14152209.85,0.038599,0.703665
2023-12-31,按地区分类,国内地区,3962285712.5,0.703183,3836039154.78,0.728158,126246557.72,0.344329,0.031862
