代码,简称,ROE-3年平均,ROE-22A,ROE-23A,ROE-24A,净利率-3年平均,净利率-22A,净利率-23A,净利率-24A,总资产周转率-3年平均,总资产周转率-22A,总资产周转率-23A,总资产周转率-24A,权益乘数-3年平均,权益乘数-22A,权益乘数-23A,权益乘数-24A,ROE-3年平均排名
行业中值,行业中值,6.505,9.78,4.81,4.36,5.855,8.64,4.635,4.15,59.98,67.13,56.21,54.015,154.51,150.665,150.69,155.865,
行业平均,行业平均,3.35,9.53,2.79,-2.29,4.31,8.19,3.0,1.74,69.21,79.17,65.21,63.26,189.0,176.76,185.49,204.73,
603281,江瀚新材,28.84,55.83,18.29,12.39,29.11,31.4,28.75,27.17,77.87,135.14,56.16,42.32,113.01,123.53,108.14,107.35,1.0
600873,梅花生物,26.16,36.43,22.98,19.07,12.72,15.77,11.46,10.93,115.38,122.88,116.52,106.75,169.35,181.2,163.5,163.36,2.0
002709,天赐材料,25.42,58.01,14.6,3.66,13.99,26.19,11.96,3.82,75.89,113.2,62.23,52.24,185.07,198.87,176.56,179.77,3.0
301617,博苑股份,25.12,32.72,25.36,17.29,18.63,22.08,17.76,16.05,106.54,116.51,111.75,91.36,123.19,129.35,126.52,113.71,4.0
920015,锦华新材,24.84,16.6,30.04,27.87,13.5,8.01,15.48,17.02,107.66,115.04,109.04,98.9,171.15,180.0,176.54,156.9,5.0
603026,石大胜华,8.73,25.28,0.48,0.42,2.74,10.68,-1.11,-1.36,99.27,149.9,82.37,65.54,177.64,143.85,165.91,223.16,66.0
