日期,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润
2025-09-30,4635000000.0,4635000000.0,4775000000.0,4426000000.0,15345600.0,45499500.0,70474600.0,187000000.0,34052100.0,55284500.0,23929300.0,-2616300.0,-545000.0,164400.0,-19330600.0,46900.00000000001,779000.0,36152100.0,-122000000.0,740200.0,,4229700.0,,-125000000.0,-1118100.0,-124000000.0
2025-06-30,3011000000.0,3011000000.0,3114000000.0,2868000000.0,9684300.0,40504400.0,51258400.0,125000000.0,23704699.999999996,38475600.0,16877900.0,-3002600.0,-400000.0,-11200.000000000002,-18077300.0,21400.0,590800.0,20874100.0,-100000000.0,471700.0,,3853300.0,,-104000000.0,-1835400.0,-102000000.0
2025-03-31,1588000000.0,1588000000.0,1636000000.0,1499000000.0,4957900.0,22478500.0,29264400.0,69375900.0,16173200.0,19169900.0,6430900.0,-4826300.0,-200000.0,18200.0,-15978000.0,-28500.0,146200.0,10510300.0,-53572100.0,347200.0,,295300.0,,-53520200.00000001,780000.0,-54300200.00000001
2024-12-31,5547000000.0,5547000000.0,5734000000.0,5245000000.0,18281000.0,81870300.0,127000000.0,238000000.0,5395900.0,52947700.00000001,38598800.0,12433200.0,6096900.000000001,-16800.0,-8047800.0,-123000.0,153600.0,47761300.0,-147000000.0,8953900.0,,2965899.9999999995,,-141000000.0,-66014300.0,-75181600.0
2024-09-30,4161000000.0,4161000000.0,4256000000.0,3940000000.0,13575500.0,52033800.0,80543100.0,161000000.0,1111100.0,34902500.0,31002100.0,8960400.0,-1059800.0,-90400.0,-7603800.0,-34600.0,129100.0,38898300.0,-64030100.0,6692400.0,,1096500.0,,-58434200.0,4843000.0,-63277200.0
2024-06-30,2621000000.0,2621000000.0,2657000000.0,2451000000.0,8032200.0,30289300.0,59765000.0,103000000.0,-2806700.0,20708100.0,17431100.0,8502400.0,-660000.0,-119200.0,-1474000.0,40300.0,,28976300.0,-8485600.0,6674400.000000001,,492200.0,,-2303400.0,2646900.0,-4950300.0
2024-03-31,1221000000.0,1221000000.0,1236000000.0,1135000000.0,4181400.0,10650200.0,32984100.0,49395400.0,2304700.0,7917500.0,4399700.0,859800.0,,-77400.0,-1585500.0,-71100.0,,19863700.0,3343300.0,4585500.0,,295500.0,,7633300.0,1284400.0,6349000.0
2023-12-31,5635000000.0,5635000000.0,5708000000.0,5268000000.0,23672000.0,86539000.0,131000000.0,192000000.0,-3008600.0,25242500.0,28544699.999999996,10706300.000000002,-1256700.0,-9320400.0,99900.0,22400.000000000004,,7359299.999999999,-74892300.0,9973800.0,,11618699.999999998,,-76537200.0,-13864200.0,-62672900.0
2023-09-30,4399000000.0,4399000000.0,4381000000.0,4093000000.0,16011900.0,75091800.0,78500400.0,139000000.0,-5304400.000000001,18100100.0,22419300.0,-13883699.999999998,-905400.0,-10883900.000000002,253600.0,55199.99999999999,,4453600.0,11760800.0,7495800.0,,4538700.0,,14717900.0,-3847500.0,18565500.0
2023-06-30,2858000000.0,2858000000.0,2871000000.0,2712000000.0,10851000.0,48487900.0,43454000.0,88208200.0,-5510200.0,10810300.0,14368300.0,-25402100.0,-615400.0,-11817800.0,236100.0,11399.999999999998,,2860100.0,-21749500.0,6740500.0,,4567400.0,,-19576300.0,-4256000.0,-15320300.0
2023-03-31,1461000000.0,1461000000.0,1466000000.0,1380000000.0,6349100.0,25195100.000000004,19909000.0,50501300.0,12786800.0,3793300.0,6440300.0,-27851700.0,-255000.0,-3070800.0,5455900.0,,,2417900.0,-771600.0,1398600.0000000002,,2860200.0,,-2233200.0,8376100.0,-10609300.0
2022-12-31,8316000000.0,8316000000.0,7322000000.0,6829000000.000001,41916300.0,88595300.0,148000000.0,269000000.0,-90014400.0,8996200.0,33103900.0,35268700.0,118000.0,-8848400.0,-4003399.999999999,-357900.0,6106100.0,7129400.000000001,994000000.0,34362100.0,,4484200.0,,1024000000.0,136000000.0,888000000.0000001
2022-09-30,6466000000.0,6466000000.0,5440000000.0,5145000000.0,29788700.0,52532700.00000001,95191800.0,213000000.0,-88887099.99999999,5219400.000000001,23404800.0,-5904800.0,30099.999999999996,-4421400.0,-3908700.0,-807099.9999999999,3766900.0,4076200.0,1025000000.0,17461700.0,,1214300.0,,1041000000.0,164000000.0,877000000.0
2022-06-30,3427000000.0000005,3427000000.0000005,2620000000.0,2412000000.0,18446000.0,22800200.0,52478500.0,151000000.0,-32027399.999999996,2993500.0,10729800.0,-5904800.0,-10000.0,-4363000.0,-3180899.9999999995,-1411200.0,3766900.0,1205000.0,805000000.0000001,15073900.000000002,,1213700.0,,818000000.0,146000000.0,673000000.0
2022-03-31,1771000000.0,1771000000.0,1190000000.0,1060000000.0,10279800.0,13681800.0,33269100.0,77530900.0,807400.0,1146000.0,2832500.0,-5886900.000000001,-10000.0,-4415300.0,647500.0,459799.99999999994,,736200.0,578000000.0,4789100.0,,337200.0,,582000000.0,100000000.0,482000000.0
