字段名,字段值
sell_5,65.9
sell_5_vol,400.0
sell_4,65.89
sell_4_vol,1000.0
sell_3,65.88
sell_3_vol,2400.0
sell_2,65.84
sell_2_vol,3200.0
sell_1,65.81
sell_1_vol,4500.0
buy_1,65.8
buy_1_vol,1200.0
buy_2,65.79
buy_2_vol,800.0
buy_3,65.78
buy_3_vol,500.0
buy_4,65.77
buy_4_vol,900.0
buy_5,65.76
buy_5_vol,2800.0
最新,65.8
均价,65.51
涨幅,4.03
涨跌,2.55
总手,166433.0
金额,1090222830.0
换手,8.21
量比,1.02
最高,68.59
最低,62.85
今开,63.01
昨收,63.25
涨停,69.58
跌停,56.93
外盘,92419.0
内盘,74014.0
