代码,简称,PEG,市盈率-24A,市盈率-TTM,市盈率-25E,市盈率-26E,市盈率-27E,市销率-24A,市销率-TTM,市销率-25E,市销率-26E,市销率-27E,市净率-24A,市净率-MRQ,市现率PCE-24A,市现率PCE-TTM,市现率PCF-24A,市现率PCF-TTM,EV/EBITDA-24A,PEG排名
行业平均,行业平均,0.148854535933,42.987555479006,47.035058326491,62.9461735794,32.25546326942,22.424234501149,4.23261788634,4.094069077427,3.703190073997,2.971193907297,2.540852904998,3.942790343532,3.229814254094,231.427372253509,48.085711082749,5.224956045029,-129.619468348304,93.368537189392,
行业中值,行业中值,0.441089192641,34.18774024,29.94929965,32.695290354206,22.12655636858,16.751476673468,3.645699009395,3.29110059,2.849978207903,2.234782124674,1.918918918919,2.85517299003,2.6893082,26.05830063,23.84314822,-10.88047175,17.96336557,21.661325086391,
002246,北化股份,0.03725614223,-378.61947717,51.87208713,46.128375231908,29.39671168467,21.408770558227,5.504311095834,4.31891229,4.028144036383,3.168563532608,2.523469743822,3.787984713905,3.57475968,135.02150381,30.59464974,-49.60755593,776.11557787,106.022063317188,1.0
301220,亚香股份,0.072660959617,80.95985348,34.28270766,19.251679366489,14.103849543706,11.176470611152,5.660607669466,4.54877837,3.207472184637,2.517982072362,2.190240840991,2.767836109052,2.57130689,143.97289961,123.95384485,-43.5211638,26.02638667,31.953415904102,2.0
603379,三美股份,0.078249474397,44.14688882,19.00343169,16.002189706941,12.720180378423,10.883567245015,8.50839538298,6.33061275,5.571173237883,4.791374373062,4.340335897476,5.335976360382,4.51442487,48.48599202,17.59558524,-72.60045721,71.10753852,23.092794510463,3.0
605020,永和股份,0.098209912051,53.40577282,23.37986592,20.601614734991,15.644132615176,12.913341962163,2.914432670816,2.67787822,2.487599449449,2.238930789512,2.060170959462,5.038852111887,2.37605629,23.04224138,16.46329934,-244.06972539,134.06991545,16.713089435593,4.0
301283,聚胶股份,0.11663205916,47.17632385,24.10177752,19.406090203684,15.17348616749,12.892157827622,1.837687233176,1.75805605,1.650473204432,1.443396805128,1.24335091509,2.46004175547,2.25251618,-43.75751039,4.7826141,101.3784258,63.17603162,22.615380069271,5.0
603026,石大胜华,,932.52991831,-268.40366716,,,,2.760496299368,2.5429224,,,,3.930043065435,3.16722774,-34.20754589,115.73467621,-35.14066625,-39.42404277,77.53478292541,147.0
