日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-09-30,buy,1443.99,1445.4339899999998,800,1156347.1919999998,346.9041575999999,signal,,,,,
2025-08-25,sell,1490.33,1488.8396699999998,800,,357.3215207999999,signal,1191071.7359999998,1191.0717359999999,46789.75074319984,4.094545839097013,1428.41699
2025-08-14,buy,1426.99,1428.41699,800,1142733.592,342.82007759999993,signal,,,,,
2025-07-22,sell,1464.98,1463.51502,800,,351.2436048,signal,1170812.016,1170.812016,30320.128379200352,2.662065976405981,1423.7122899999997
2025-06-16,buy,1422.29,1423.7122899999997,800,1138969.8319999997,341.6909495999999,signal,,,,,
2025-06-13,sell,1433.5485664499997,1432.1150178835496,800,,343.7076042920519,stop_loss,1145692.0143068398,1145.6920143068398,-64204.5853117588,-5.313158123499993,1510.5089999999998
2025-06-03,buy,1509.0,1510.5089999999998,800,1208407.1999999997,362.5221599999999,signal,,,,,
2025-05-12,sell,1604.5,1602.8955,700,,336.608055,signal,1122026.85,1122.0268500000002,69518.21509500034,6.6141682217782565,1501.4999999999998
2025-04-07,buy,1500.0,1501.4999999999998,700,1051049.9999999998,315.3149999999999,signal,,,,,
2025-03-14,sell,1628.01,1626.38199,700,,341.5402179,signal,1138467.3930000002,1138.4673930000001,127839.2453891004,12.668035575936395,1441.6401999999998
2025-01-07,buy,1440.2,1441.6401999999998,700,1009148.1399999999,302.74444199999994,signal,,,,,
2025-01-06,sell,1442.0985578999996,1440.6564593420997,700,,302.5378564618409,stop_loss,1008459.5215394697,1008.4595215394697,-56514.075838531484,-5.313158123500017,1519.5179999999998
2024-11-28,buy,1518.0,1519.5179999999998,700,1063662.5999999999,319.0987799999999,signal,,,,,
2024-11-07,sell,1649.14,1647.49086,600,,296.54835479999997,signal,988494.5160000001,988.4945160000001,47270.47312920017,5.029100093644393,1566.5649999999998
2024-10-28,buy,1565.0,1566.5649999999998,600,939938.9999999999,281.98169999999993,signal,,,,,
2024-09-27,sell,1629.2,1627.5708,600,,292.962744,signal,976542.48,976.54248,192012.49677600013,24.514513647655303,1305.4341299999999
2024-09-13,buy,1304.13,1305.4341299999999,600,783260.4779999999,234.97814339999994,signal,,,,,
2024-07-09,sell,1412.3160876824998,1410.9037715948173,600,,253.96267888706709,stop_loss,846542.2629568904,846.5422629568905,-47440.23198495351,-5.313158123500006,1488.13665
2024-06-25,buy,1486.65,1488.13665,600,892881.99,267.86459699999995,signal,,,,,
2024-06-24,sell,1425.0935749049995,1423.6684813300944,600,,256.260326639417,stop_loss,854201.0887980567,854.2010887980567,-47869.43261738052,-5.313158123500006,1501.6000999999997
2024-06-20,buy,1500.1,1501.6000999999997,600,900960.0599999998,270.2880179999999,signal,,,,,
2024-06-19,sell,1493.0945069039997,1491.6014123970956,600,,268.4882542314772,stop_loss,894960.8474382573,894.9608474382574,-50153.60966341244,-5.313158123500033,1573.2516799999999
2024-06-12,buy,1571.68,1573.2516799999999,600,943951.0079999999,283.18530239999996,signal,,,,,
2024-06-11,sell,1586.6124133859996,1585.0258009726135,600,,285.3046441750704,stop_loss,951015.4805835681,951.0154805835681,-53294.91154119035,-5.3131581235000125,1671.7901199999997
2024-05-27,buy,1670.12,1671.7901199999997,600,1003074.0719999998,300.92222159999994,signal,,,,,
2024-05-06,sell,1760.2,1758.4398,600,,316.519164,signal,1055063.8800000001,1055.0638800000002,55362.96495600033,5.545561287384907,1663.8822199999997
2024-04-09,buy,1662.22,1663.8822199999997,600,998329.3319999998,299.4987995999999,signal,,,,,
