指标,值
总收益率,123.71%
年化收益率,53.53%
夏普比率,1.472
卡尔玛比率,2.947
最大回撤,18.16%
年化波动率,31.79%
总交易次数,4
胜率,25.00%
盈亏比,27.607
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"2,237,088"
总盈利,"1,389,148"
总亏损,"150,954"
strategy_name,RSI反转策略
