指标,值
总收益率,115.20%
年化收益率,50.39%
夏普比率,1.167
卡尔玛比率,1.369
最大回撤,36.79%
年化波动率,41.14%
总交易次数,3
胜率,0.00%
盈亏比,0.000
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"2,151,961"
总盈利,0
总亏损,"103,152"
strategy_name,KDJ+MACD双重确认策略
