指标,值
总收益率,24.42%
年化收益率,13.35%
夏普比率,0.692
卡尔玛比率,0.619
最大回撤,21.57%
年化波动率,16.31%
总交易次数,14
胜率,50.00%
盈亏比,1.527
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,244,211"
总盈利,"569,113"
总亏损,"319,477"
strategy_name,RSI反转策略
