指标,值
总收益率,49.67%
年化收益率,23.95%
夏普比率,1.204
卡尔玛比率,2.683
最大回撤,8.92%
年化波动率,17.36%
总交易次数,3
胜率,66.67%
盈亏比,4.686
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,496,663"
总盈利,"557,057"
总亏损,"59,440"
strategy_name,布林带策略
