指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,24,22,29,27,22,15,21,16,17,15
参数_oversold,35,33,36,36,35,37,32,40,37,34
参数_rsi_period,12,15,18,17,16,13,18,14,12,15
参数_std_dev,1.802826522087887,1.8399899663272012,1.8003115063364057,1.8733739159464655,2.1439761626945284,1.8923575302488598,1.8186662652854462,2.047354403733235,2.0603553891795414,2.1768807022739414
夏普比率,0.610,0.503,0.079,0.000,0.000,-0.292,-0.613,-1.044,-2.024,-2.024
总收益率,11.91%,10.55%,6.04%,0.00%,0.00%,-0.95%,-5.33%,-10.39%,-5.34%,-5.34%
年化收益率,6.17%,5.48%,3.17%,0.00%,0.00%,-0.50%,-2.88%,-5.67%,-2.88%,-2.88%
最大回撤,1.46%,1.46%,11.74%,0.00%,0.00%,9.37%,11.61%,16.42%,5.34%,5.34%
胜率,100.00%,100.00%,50.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%
总交易次数,1,1,2,0,0,3,1,2,1,1
盈亏比,inf,inf,2.149,0.000,0.000,1.842,0.000,0.000,0.000,0.000
卡尔玛比率,4.236,3.762,0.270,0.000,0.000,-0.054,-0.248,-0.346,-0.539,-0.539
年化波动率,5.599704864248331,5.411875668117845,10.9072333781323,0.0,0.0,10.25181327227981,9.147540672096607,8.3855132811351,2.967001846037447,2.967001846037447
最终资金,1119108.8512365003,1105475.262972,1060446.854505356,1000000.0,1000000.0,990544.2129683157,946680.5232984311,896096.163182259,946626.2360104227,946626.2360104227
