日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-11-18,41.51,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-17,41.68,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-14,40.34,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-13,41.51,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-12,41.12,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-11,42.05,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-10,43.44,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-07,44.79,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-06,45.8,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-05,44.26,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-04,44.39,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-11-03,46.79,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-31,48.23,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-30,48.64,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-29,49.94,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-28,50.27,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-27,49.3,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-24,46.95,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-23,46.19,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-22,47.92,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-21,48.53,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-20,48.22,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-17,45.17,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
2025-10-16,45.59,1119108.8512365003,0,1119108.8512365003,0.0,0.0,0.0
