指标,值
总收益率,11.91%
年化收益率,6.17%
夏普比率,0.610
卡尔玛比率,4.236
最大回撤,1.46%
年化波动率,5.60%
总交易次数,1
胜率,100.00%
盈亏比,inf
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,119,109"
总盈利,"119,409"
总亏损,0
strategy_name,布林带+RSI反转策略
