日期,开盘,收盘,最高,最低,成交量,成交额,trend_sma_20,trend_sma_50,trend_ema_12,trend_ema_26,trend_macd,trend_macd_signal,trend_macd_hist,momentum_rsi_14,momentum_stoch_k,momentum_stoch_d,momentum_stoch_j,volatility_bbands_upper,volatility_bbands_middle,volatility_bbands_lower,volatility_atr_14,volume_obv,volume_ad,volume_vwap
2025-01-21,35.0,35.9,36.1,34.75,136275839,4856778496.0,34.00499999999998,31.109999999999992,34.279399015399974,33.16885953400544,1.1105394813945324,1.1511230299666455,-0.0405835485721131,65.08895321456673,64.15770609319004,55.074276954983056,82.32456436960403,36.514561714722575,34.00499999999998,31.49543828527739,1.3693942504234589,11427942733.0,405068551.67723835,17.86594767168907
2025-01-22,36.0,35.3,36.2,35.2,106122696,3779648032.0,34.18749999999998,31.24999999999999,34.436414551492284,33.32672179074578,1.1096927607465048,1.1428369761226174,-0.0331442153761125,61.154500797254755,66.6666666666667,61.29032258064522,77.41935483870968,36.50932579019223,34.18749999999998,31.86567420980773,1.3430089468217832,11321820037.0,320170394.87723714,17.87547673651973
2025-01-23,35.7,34.5,35.75,34.25,124771415,4342515456.0,34.324999999999974,31.353999999999992,34.44619692818578,33.413631287727576,1.032565640458202,1.1207827089897342,-0.0882170685315322,56.27044331242289,65.23297491039428,65.352449223417,64.99402628434885,36.36129565633367,34.324999999999974,32.28870434366628,1.3542225934773702,11197048622.0,236989451.5439038,17.88620334330455
2025-01-24,34.75,36.85,37.3,34.5,288470064,10507543296.0,34.52999999999998,31.521999999999988,34.81601278538797,33.66817711826627,1.1478356671216972,1.1261933006161269,0.0216423665055702,65.09029170629618,69.1018342821,67.00049195305365,73.30451894019268,36.71114648751572,34.52999999999998,32.34885351248424,1.4574924082289864,11485518686.0,432736994.972476,17.912971337594815
2025-01-27,37.65,37.1,37.65,36.55,154106703,5726137856.0,34.67749999999998,31.685999999999986,35.16739543378982,33.92238622061692,1.2450092131728994,1.149956483127481,0.095052730045418,65.87873062647054,76.84903102012247,70.39461340420559,89.75786625195622,37.11931797028402,34.67749999999998,32.23568202971594,1.4319572362126305,11639625389.0,432736994.972477,17.92792791490101
2025-01-28,37.85,38.3,38.45,37.55,84927933,3229363328.0,34.869999999999976,31.894999999999985,35.649334597822154,34.24665390797863,1.4026806898435211,1.2005013244706892,0.2021793653728318,69.44585234266351,92.88190102624186,79.61092210948811,119.42385885974936,37.77317068048063,34.869999999999976,31.96682931951932,1.4261031479117283,11724553322.0,489355616.9724761,17.93658990143139
2025-02-03,38.9,37.95,39.2,37.2,143592266,5469369088.0,35.042499999999976,32.09399999999999,36.00328312123413,34.52097584072096,1.4823072805131758,1.2568625156791866,0.2254447648339892,67.23795573746649,89.78443015383492,86.50512073339975,96.34304899470524,38.23299761009189,35.042499999999976,31.85200238990806,1.4670957802037476,11580961056.0,453457550.4724761,17.951230374503172
2025-02-04,38.7,39.55,40.1,38.5,141166344,5571418880.0,35.31999999999998,32.30899999999999,36.548931871813494,34.8934961488157,1.6554357229977938,1.336577157142908,0.3188585658548857,71.67186696817018,90.79791717649624,91.154749452191,90.08425262510664,39.02370085185104,35.31999999999998,31.61629914814892,1.515874653046337,11722127400.0,497572032.97247547,17.966505597458063
2025-02-05,39.95,39.65,39.95,38.7,165406601,6498079232.0,35.489999999999974,32.53599999999999,37.02601927614988,35.245829767421945,1.7801895087279362,1.4252996274599137,0.3548898812680225,71.92758448908513,89.57010898004694,90.05081877012604,88.60868939988873,39.63470746856803,35.489999999999974,31.345292531431916,1.49688360640017,11887534001.0,583583465.4924743,17.984417832493765
2025-02-06,39.8,40.55,40.7,39.4,174418873,6995839232.0,35.70249999999997,32.78699999999999,37.568170156742205,35.63873126613143,1.9294388906107756,1.526127480090086,0.4033114105206894,74.1861012950187,94.92848421419852,91.7655034569139,101.2544457287678,40.39158040024952,35.70249999999997,31.013419599750424,1.4828204916573011,12061952874.0,717751829.3386267,18.00396230632901
