日期,value
2025-04-01,12051.39
2025-04-02,11546.01
2025-04-03,11895.89
2025-04-04,11895.89
2025-04-05,11895.89
2025-04-06,11895.89
2025-04-07,9446.74
2025-04-08,10081.7
2025-04-09,10859.21
2025-04-10,11157.26
2025-04-11,11468.26
2025-04-12,11468.26
2025-04-13,11468.26
2025-04-14,11196.13
2025-04-15,11170.21
2025-04-16,10690.75
2025-04-17,10872.17
2025-04-18,10872.17
2025-04-19,10872.17
2025-04-20,10872.17
2025-04-21,10872.17
2025-04-22,11507.14
2025-04-23,12297.6
2025-04-24,12491.98
2025-04-25,12362.4
2025-04-26,12362.4
2025-04-27,12362.4
2025-04-28,12324.88
2025-04-29,12311.91
2025-04-30,12960.59
2025-05-01,12960.59
2025-05-02,13777.92
2025-05-03,13777.92
2025-05-04,13777.92
2025-05-05,13777.92
2025-05-06,13375.74
2025-05-07,12999.51
2025-05-08,13181.27
2025-05-09,13323.98
2025-05-10,13323.98
2025-05-11,13323.98
2025-05-12,13129.37
2025-05-13,12623.4
2025-05-14,13077.48
2025-05-15,13012.61
2025-05-16,13233.16
2025-05-17,13233.16
2025-05-18,13233.16
2025-05-19,13583.45
2025-05-20,14219.16
2025-05-21,14128.35
2025-05-22,13804.01
2025-05-23,13752.11
2025-05-24,13752.11
2025-05-25,13752.11
2025-05-26,13311.01
2025-05-27,13375.88
2025-05-28,13427.77
2025-05-29,13414.8
2025-05-30,13220.19
2025-05-31,13220.19
2025-06-01,13220.19
2025-06-02,13388.85
2025-06-03,13804.01
2025-06-04,13868.88
2025-06-05,14077.42
2025-06-06,13779.01
2025-06-07,13779.01
2025-06-08,13779.01
2025-06-09,14051.48
2025-06-10,13869.83
2025-06-11,14038.5
2025-06-12,13545.47
2025-06-13,13480.59
2025-06-14,13480.59
2025-06-15,13480.59
2025-06-16,14051.48
2025-06-17,14012.55
2025-06-18,13960.65
2025-06-19,13766.03
2025-06-20,14025.53
2025-06-21,14025.53
2025-06-22,14025.53
2025-06-23,14233.12
2025-06-24,14765.08
2025-06-25,14700.2
2025-06-26,14765.08
2025-06-27,15297.04
2025-06-28,15297.04
2025-06-29,15297.04
2025-06-30,15556.53
2025-07-01,15556.53
2025-07-02,15608.43
2025-07-03,15076.47
2025-07-04,14920.77
2025-07-05,14920.77
2025-07-06,14920.77
2025-07-07,14871.01
2025-07-08,15221.37
2025-07-09,14896.96
2025-07-10,14767.19
2025-07-11,14883.98
2025-07-12,14883.98
2025-07-13,14883.98
2025-07-14,14871.01
2025-07-15,14961.84
2025-07-16,14871.01
2025-07-17,14572.55
2025-07-18,14793.15
2025-07-19,14793.15
2025-07-20,14793.15
2025-07-21,14987.79
2025-07-22,15039.7
2025-07-23,15156.49
2025-07-24,15169.46
2025-07-25,14896.96
2025-07-26,14896.96
2025-07-27,14896.96
2025-07-28,14741.24
2025-07-29,14351.95
2025-07-30,14209.21
2025-07-31,13793.96
2025-08-01,13858.84
2025-08-02,13858.84
2025-08-03,13858.84
2025-08-04,14157.3
2025-08-05,14092.42
2025-08-06,14022.13
2025-08-07,13493.72
2025-08-08,13337.57
2025-08-09,13337.57
2025-08-10,13337.57
2025-08-11,13220.46
