日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-06-09,sell,1487.6415123569998,1486.1538708446428,500,,222.92308062669642,stop_loss,743076.9354223214,743.0769354223214,-41642.03459372744,-5.313158123499991,1567.5059399999998
2025-04-18,buy,1565.94,1567.5059399999998,500,783752.9699999999,235.12589099999994,signal,,,,,
2024-11-11,sell,1567.19,1565.62281,500,,234.84342149999998,stop_loss,782811.405,782.811405,-43600.81982649991,-5.282421451657952,1650.7891399999999
2024-11-07,buy,1649.14,1650.7891399999999,500,825394.57,247.61837099999997,signal,,,,,
2024-04-09,sell,1658.45,1656.7915500000001,500,,248.5187325,stop_loss,828395.775,828.3957750000001,-46053.63950749999,-5.273081017263538,1746.745
2024-03-12,buy,1745.0,1746.745,500,873372.5,262.01174999999995,signal,,,,,
