指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_fast,8,11,13,12,8,9,14,15,15,12
参数_signal,7,7,10,6,8,8,11,11,12,7
参数_slow,35,28,25,31,30,31,26,29,24,29
夏普比率,-2.295,-2.412,-2.412,-2.412,-2.412,-2.412,-2.445,-2.619,-2.623,-2.774
总收益率,-13.20%,-13.24%,-13.24%,-13.24%,-13.24%,-13.24%,-13.27%,-17.44%,-13.19%,-17.35%
年化收益率,-7.80%,-7.82%,-7.82%,-7.82%,-7.82%,-7.82%,-7.84%,-10.41%,-7.79%,-10.35%
最大回撤,13.20%,13.24%,13.24%,13.24%,13.24%,13.24%,13.27%,17.44%,13.19%,17.35%
胜率,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,3,3,3,3,3,3,3,4,3,4
盈亏比,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
卡尔玛比率,-0.591,-0.591,-0.591,-0.591,-0.591,-0.591,-0.591,-0.597,-0.591,-0.597
年化波动率,4.9204174610969975,4.695432406760076,4.695432406760076,4.695432406760076,4.695432406760076,4.695432406760076,4.642758320389305,5.435344618000143,4.31390196080219,5.116580848427998
最终资金,867958.7500602726,867631.1543567734,867631.1543567734,867631.1543567734,867631.1543567734,867631.1543567734,867283.7691985319,825618.9442146848,868077.5743541549,826479.2506458339
