指标,值
总收益率,-13.20%
年化收益率,-7.80%
夏普比率,-2.295
卡尔玛比率,-0.591
最大回撤,13.20%
年化波动率,4.92%
总交易次数,3
胜率,0.00%
盈亏比,0.000
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"867,959"
总盈利,0
总亏损,"131,296"
strategy_name,MACD趋势策略
