报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,长期应付款合计,其中：长期应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2008-06-30,,10.81亿,18.51亿,7.70亿,9.51亿,,,3.09亿,False,4.07亿,7587.02万,3.32亿,1.30亿,1498.54万,1498.54万,2.95亿,False,3.09亿,11.56亿,,False,1.61亿,False,False,3.44亿,3.44亿,False,1.33亿,1.33亿,False,4002.49万,False,553.95万,1101.34万,False,6.95亿,18.51亿,,2.78亿,False,False,3.25亿,2660.08万,2.98亿,1.19亿,False,890.38万,660.97万,3233.54万,False,False,3233.54万,False,False,7.70亿,,False,False,False,False,False,False,False,False,7.70亿,,2.83亿,3.17亿,False,False,5979.26万,2.90亿,9.51亿,1.30亿,10.81亿,18.51亿
2008-03-31,,10.62亿,17.02亿,6.40亿,9.40亿,,,2.94亿,False,3.14亿,4453.59万,2.69亿,7833.42万,3214.51万,3214.51万,3.13亿,False,2.94亿,10.31亿,,False,1.61亿,False,False,3.38亿,3.38亿,False,1.18亿,1.18亿,False,3875.40万,False,534.76万,1026.41万,False,6.71亿,17.02亿,,2.66亿,False,False,2.72亿,1865.73万,2.53亿,4011.58万,False,781.93万,199.40万,5190.75万,False,175.76万,5014.99万,False,False,6.40亿,,False,False,False,False,False,False,False,False,6.40亿,,2.83亿,3.21亿,False,False,5979.26万,2.76亿,9.40亿,1.22亿,10.62亿,17.02亿
2007-12-31,,10.29亿,16.31亿,6.02亿,9.17亿,,,3.67亿,False,2.65亿,2844.62万,2.36亿,9470.66万,888.02万,888.02万,2.50亿,False,3.67亿,9.85亿,,False,1.55亿,False,False,3.25亿,3.25亿,False,1.11亿,1.11亿,False,3913.24万,False,551.46万,977.96万,False,6.46亿,16.31亿,,2.47亿,False,False,2.79亿,2911.38万,2.50亿,3937.33万,False,1032.59万,794.99万,1849.34万,False,False,1849.34万,False,False,6.02亿,,False,False,False,False,False,False,False,False,6.02亿,,2.83亿,3.21亿,False,False,5979.26万,2.53亿,9.17亿,1.12亿,10.29亿,16.31亿
2007-09-30,,10.25亿,15.07亿,4.83亿,9.18亿,,,3.16亿,False,2.48亿,2090.76万,2.28亿,3923.88万,1136.05万,1136.05万,2.35亿,87.26万,3.16亿,8.51亿,,False,1.84亿,False,False,2.97亿,2.97亿,False,1.21亿,1.21亿,False,3952.69万,False,517.65万,965.99万,False,6.56亿,15.07亿,,2.34亿,False,False,2.05亿,3787.61万,1.67亿,1345.45万,False,906.40万,800.66万,1278.67万,False,False,1278.67万,False,False,4.83亿,,False,False,False,False,False,False,False,False,4.83亿,,2.83亿,3.45亿,False,False,6320.29万,2.27亿,9.18亿,1.06亿,10.25亿,15.07亿
2007-06-30,,10.01亿,15.51亿,5.50亿,8.93亿,,,3.55亿,False,2.58亿,1606.85万,2.41亿,6279.60万,777.11万,777.11万,2.34亿,77.80万,3.55亿,9.17亿,,False,1.77亿,False,False,2.96亿,2.96亿,False,1.08亿,1.08亿,False,3966.83万,False,508.88万,821.18万,False,6.34亿,15.51亿,,2.28亿,False,False,2.55亿,2872.06万,2.26亿,4146.65万,False,837.11万,713.08万,1026.25万,False,False,1026.25万,False,False,5.50亿,,False,False,False,False,False,False,False,False,5.50亿,,2.83亿,3.45亿,False,False,6320.29万,2.02亿,8.93亿,1.08亿,10.01亿,15.51亿
2007-03-31,,9.79亿,14.46亿,4.67亿,8.78亿,,,3.22亿,False,2.48亿,2088.74万,2.27亿,4146.25万,1016.78万,1016.78万,1.94亿,57.62万,3.22亿,8.16亿,,False,1.82亿,False,False,2.98亿,2.98亿,False,9793.70万,9793.70万,False,4007.93万,False,373.29万,862.94万,False,6.30亿,14.46亿,,2.48亿,False,False,1.79亿,2509.59万,1.54亿,1273.75万,False,664.38万,1291.51万,574.56万,False,False,574.56万,False,170.18万,4.67亿,,False,False,False,False,False,False,False,False,4.67亿,,2.58亿,3.71亿,False,False,6087.65万,1.89亿,8.78亿,1.01亿,9.79亿,14.46亿
2006-12-31,,9.83亿,14.29亿,4.46亿,8.77亿,,,3.31亿,False,2.21亿,4230.28万,1.79亿,6506.06万,455.68万,455.68万,1.89亿,False,3.31亿,8.11亿,,False,1.79亿,False,False,3.03亿,3.03亿,False,8632.75万,8632.75万,False,4045.76万,False,394.46万,574.18万,False,6.19亿,14.29亿,,1.76亿,False,False,2.12亿,2483.16万,1.87亿,2301.41万,False,736.31万,1375.42万,1373.04万,False,False,1373.04万,False,False,4.46亿,,False,51.00万,51.00万,False,False,False,False,51.00万,4.46亿,,2.58亿,3.78亿,False,False,5326.30万,1.88亿,8.77亿,1.06亿,9.83亿,14.29亿
2006-09-30,,9.15亿,13.63亿,4.48亿,8.27亿,,,4.32亿,False,2.20亿,1767.86万,2.02亿,4316.22万,788.11万,788.11万,1.89亿,False,4.32亿,8.93亿,,False,4968.84万,False,False,3.04亿,3.04亿,False,1.12亿,1.12亿,False,138.86万,False,339.20万,False,False,4.70亿,13.63亿,,2.01亿,False,False,2.11亿,5877.78万,1.53亿,1536.10万,False,765.97万,577.33万,331.14万,False,False,331.14万,False,False,4.48亿,,False,51.00万,51.00万,False,False,False,False,51.00万,4.48亿,,2.58亿,3.71亿,False,False,4849.11万,1.51亿,8.27亿,8732.90万,9.15亿,13.63亿
2006-06-30,,6.41亿,11.53亿,5.12亿,5.53亿,,,2.80亿,False,1.78亿,1785.40万,1.60亿,4012.80万,831.18万,831.18万,1.91亿,False,2.80亿,6.99亿,,False,4968.84万,False,False,2.96亿,2.96亿,False,1.03亿,1.03亿,False,144.98万,False,358.46万,False,False,4.54亿,11.53亿,,2.49亿,False,False,2.26亿,7391.57万,1.52亿,941.64万,False,809.28万,1105.16万,572.57万,False,False,572.57万,False,False,5.12亿,,False,26.00万,26.00万,False,False,False,False,26.00万,5.12亿,,2.09亿,1.59亿,False,False,4849.11万,1.36亿,5.53亿,8808.07万,6.41亿,11.53亿
2006-03-31,,6.35亿,10.24亿,3.89亿,5.51亿,,,1.89亿,False,1.49亿,681.17万,1.42亿,6180.16万,903.36万,903.36万,1.72亿,False,1.89亿,5.83亿,,False,4968.84万,False,False,2.98亿,2.98亿,False,8835.42万,8835.42万,False,155.90万,False,400.07万,False,False,4.41亿,10.24亿,,1.86亿,False,False,1.74亿,3426.21万,1.40亿,866.59万,False,615.68万,439.94万,739.47万,False,False,739.47万,False,False,3.89亿,,False,26.00万,26.00万,False,False,False,False,26.00万,3.89亿,,1.75亿,1.94亿,False,False,4849.11万,1.14亿,5.51亿,8320.32万,6.35亿,10.24亿
