item,value
sell_5,41.55
sell_5_vol,64400.0
sell_4,41.54
sell_4_vol,15400.0
sell_3,41.53
sell_3_vol,20100.0
sell_2,41.52
sell_2_vol,15800.0
sell_1,41.51
sell_1_vol,33800.0
buy_1,41.5
buy_1_vol,54500.0
buy_2,41.49
buy_2_vol,6900.0
buy_3,41.48
buy_3_vol,14900.0
buy_4,41.47
buy_4_vol,11100.0
buy_5,41.46
buy_5_vol,22500.0
最新,41.51
均价,41.56
涨幅,-0.41
涨跌,-0.17
总手,568714.0
金额,2363736440.0
换手,3.64
量比,0.87
最高,42.23
最低,40.9
今开,41.3
昨收,41.68
涨停,45.85
跌停,37.51
外盘,264170.0
内盘,304544.0
