股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
600580,2024-12-31,,工业电机及驱动,9065838627.3,0.557999,6355100127.73,0.515008,2710738499.57,0.693776,0.299006
600580,2024-12-31,,日用电机及控制,3934138910.93,0.242145,3273738149.37,0.265299,660400761.56,0.16902,0.167864
600580,2024-12-31,,风光储氢,1241812629.59,0.076433,979174398.76,0.079351,262638230.83,0.067219,0.211496
600580,2024-12-31,,电动交通,807970826.28,0.04973,700102835.41,0.056735,107867990.87,0.027607,0.133505
600580,2024-12-31,,其他,806230570.16,0.049623,730936675.52,0.059234,75293894.64,0.01927,0.09339
600580,2024-12-31,,其他(补充),391048796.64,0.024069,300763343.14,0.024373,90285453.5,0.023107,0.23088
600580,2024-12-31,按产品分类,工业电机及驱动,9065838627.3,0.557999,6355100127.73,0.515008,2710738499.57,0.693776,0.299006
600580,2024-12-31,按产品分类,日用电机及控制,3934138910.93,0.242145,3273738149.37,0.265299,660400761.56,0.16902,0.167864
600580,2024-12-31,按产品分类,风光储氢,1241812629.59,0.076433,979174398.76,0.079351,262638230.83,0.067219,0.211496
600580,2024-12-31,按产品分类,电动交通,807970826.28,0.04973,700102835.41,0.056735,107867990.87,0.027607,0.133505
600580,2024-12-31,按产品分类,其他,806230570.16,0.049623,730936675.52,0.059234,75293894.64,0.01927,0.09339
600580,2024-12-31,按产品分类,其他(补充),391048796.64,0.024069,300763343.14,0.024373,90285453.5,0.023107,0.23088
600580,2024-12-31,按地区分类,中国,10137521622.51,0.623961,7601853634.67,0.616043,2535667987.84,0.648969,0.250127
600580,2024-12-31,按地区分类,欧非区,2551200945.51,0.157026,2031256199.82,0.16461,519944745.69,0.133073,0.203804
600580,2024-12-31,按地区分类,美洲区,2093277095.43,0.128841,1555990059.37,0.126095,537287036.06,0.137511,0.256673
600580,2024-12-31,按地区分类,亚太(不含中国),1073991900.81,0.066104,849952292.94,0.068879,224039607.87,0.05734,0.208605
600580,2024-12-31,按地区分类,其他(补充),391048796.64,0.024069,300763343.14,0.024373,90285453.5,0.023107,0.23088
600580,2023-12-31,,工业电机及驱动,9644538957.0,0.619557,6791203557.41,0.582944,2853335399.59,0.728452,0.29585
600580,2023-12-31,,日用电机及控制,3111149933.0,0.199858,2594989086.82,0.222749,516160846.18,0.131775,0.165907
600580,2023-12-31,,其他,1498106295.44,0.096237,1196180769.97,0.102678,301925525.47,0.077081,0.201538
600580,2023-12-31,,电动交通,971995857.3,0.06244,814303791.8,0.069898,157692065.5,0.040259,0.162235
600580,2023-12-31,,其他(补充),341035943.47,0.021908,253167304.66,0.021731,87868638.81,0.022433,0.257652
600580,2023-12-31,按产品分类,工业电机及驱动,9644538957.0,0.619557,6791203557.41,0.582944,2853335399.59,0.728452,0.29585
600580,2023-12-31,按产品分类,日用电机及控制,3111149933.0,0.199858,2594989086.82,0.222749,516160846.18,0.131775,0.165907
600580,2023-12-31,按产品分类,其他,1498106295.44,0.096237,1196180769.97,0.102678,301925525.47,0.077081,0.201538
600580,2023-12-31,按产品分类,电动交通,971995857.3,0.06244,814303791.8,0.069898,157692065.5,0.040259,0.162235
600580,2023-12-31,按产品分类,其他(补充),341035943.47,0.021908,253167304.66,0.021731,87868638.81,0.022433,0.257652
600580,2023-12-31,按地区分类,中国,9625802531.75,0.618354,7104887703.78,0.60987,2520914827.97,0.643586,0.261891
600580,2023-12-31,按地区分类,欧非区,2793638956.83,0.179461,2153882003.28,0.184885,639756953.55,0.163329,0.229005
600580,2023-12-31,按地区分类,美洲区,1988484970.49,0.127739,1484999538.74,0.127469,503485431.75,0.128539,0.253201
600580,2023-12-31,按地区分类,亚太(不含中国),817864583.67,0.052539,652907960.2,0.056044,164956623.47,0.042113,0.201692
600580,2023-12-31,按地区分类,其他(补充),341035943.47,0.021908,253167304.66,0.021731,87868638.81,0.022433,0.257652
600580,2023-06-30,,工业电机及驱动,4977371274.04,0.636946,,,,,
600580,2023-06-30,,日用电机及控制,1578139004.44,0.201952,,,,,
600580,2023-06-30,,电动交通,517198894.72,0.066185,,,,,
600580,2023-06-30,,其他,453313786.34,0.05801,,,,,
600580,2023-06-30,,其他(补充),288408035.68,0.036907,185452016.34,0.032148,102956019.34,0.050329,0.35698
600580,2023-06-30,按产品分类,工业电机及驱动,4977371274.04,0.636946,,,,,
600580,2023-06-30,按产品分类,日用电机及控制,1578139004.44,0.201952,,,,,
600580,2023-06-30,按产品分类,电动交通,517198894.72,0.066185,,,,,
600580,2023-06-30,按产品分类,其他,453313786.34,0.05801,,,,,
600580,2023-06-30,按产品分类,其他(补充),288408035.68,0.036907,185452016.34,0.032148,102956019.34,0.050329,0.35698
600580,2023-06-30,按地区分类,中国,4535437388.82,0.580393,,,,,
600580,2023-06-30,按地区分类,欧非区,1408056111.17,0.180187,,,,,
600580,2023-06-30,按地区分类,美洲区,1124083603.71,0.143847,,,,,
600580,2023-06-30,按地区分类,亚太(不含中国),458445855.84,0.058667,,,,,
600580,2023-06-30,按地区分类,其他(补充),288408035.68,0.036907,185452016.34,0.032148,102956019.34,0.050329,0.35698
600580,2022-12-31,,工业电机及驱动,8765982562.85,0.614469,6275995810.4,0.585146,2489986752.45,0.7033,0.284051
600580,2022-12-31,,日用电机及控制,3240351726.84,0.227139,2720571330.23,0.253654,519780396.61,0.146813,0.160409
600580,2022-12-31,,电动交通,968805913.67,0.06791,808034744.1,0.075338,160771169.57,0.04541,0.165948
600580,2022-12-31,,其他,892599696.79,0.062569,670745800.34,0.062537,221853896.45,0.062663,0.248548
600580,2022-12-31,,其他(补充),398219253.85,0.027914,250175795.61,0.023325,148043458.24,0.041815,0.371764
600580,2022-12-31,按产品分类,工业电机及驱动,8765982562.85,0.614469,,,,,
600580,2022-12-31,按产品分类,日用电机及控制,3240351726.84,0.227139,,,,,
600580,2022-12-31,按产品分类,电动交通,968805913.67,0.06791,,,,,
