指标,值
总收益率,9.14%
年化收益率,5.14%
夏普比率,0.223
卡尔玛比率,0.381
最大回撤,13.51%
年化波动率,14.46%
总交易次数,11
胜率,45.45%
盈亏比,1.335
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,091,359"
总盈利,"356,126"
总亏损,"266,830"
strategy_name,KDJ+布林带系统
