指标,值
总收益率,5.51%
年化收益率,3.12%
夏普比率,0.068
卡尔玛比率,1.714
最大回撤,1.82%
年化波动率,3.72%
总交易次数,1
胜率,100.00%
盈亏比,inf
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"1,055,063"
总盈利,"55,363"
总亏损,0
strategy_name,布林带+RSI反转策略
