指标,值
总收益率,-3.17%
年化收益率,-1.70%
夏普比率,-0.056
卡尔玛比率,-0.064
最大回撤,26.70%
年化波动率,26.13%
总交易次数,9
胜率,11.11%
盈亏比,7.433
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"968,346"
总盈利,"381,297"
总亏损,"410,406"
strategy_name,KDJ超卖反弹策略
