指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_j_overbought,88,77,75,91,93,90,83,90,75,80
参数_j_oversold,1,13,18,4,2,23,14,30,28,24
夏普比率,-0.056,-0.206,-0.265,-0.277,-0.277,-0.284,-0.284,-0.284,-0.372,-0.475
总收益率,-3.17%,-10.38%,-12.68%,-13.14%,-13.14%,-14.92%,-14.92%,-14.92%,-17.33%,-21.78%
年化收益率,-1.70%,-5.67%,-6.96%,-7.23%,-7.23%,-8.24%,-8.24%,-8.24%,-9.63%,-12.26%
最大回撤,26.70%,36.55%,36.55%,34.24%,34.24%,36.55%,36.55%,36.55%,36.55%,36.55%
胜率,11.11%,21.43%,21.43%,9.09%,9.09%,14.29%,14.29%,14.29%,20.00%,14.29%
总交易次数,9,14,14,11,11,14,14,14,15,14
盈亏比,7.433,2.917,2.745,7.271,7.271,4.396,4.396,4.396,2.730,3.563
卡尔玛比率,-0.064,-0.155,-0.191,-0.211,-0.211,-0.226,-0.226,-0.226,-0.264,-0.335
年化波动率,26.134300549185184,26.93057663624489,26.620226372696866,26.62160207350438,26.62160207350438,28.33739380692303,28.33739380692303,28.33739380692303,26.95962792968483,27.357147286286903
最终资金,968345.6510759585,896188.3443506903,873231.2374376904,868594.0953082601,868594.0953082601,850816.0338655468,850816.0338655468,850816.0338655468,826728.8960934862,782245.7604326264
